date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2022-10-31,sz.301389,20.8900,22.0200,19.9100,20.9400,22.5000,26176828,538447604.4300,3,38.940000,1,-6.933300,32.653568,14.222334,-202.150614,7.225171,0
2022-11-01,sz.301389,20.0300,20.4000,19.6100,20.3000,20.9400,15384969,309263853.2100,3,22.886300,1,-3.056400,31.655561,13.787649,-195.972181,7.004344,0
2022-11-02,sz.301389,20.2900,21.5000,20.1000,20.5500,20.3000,15179596,314957219.5000,3,22.580800,1,1.231500,32.045407,13.957448,-198.385631,7.090605,0
2022-11-03,sz.301389,20.0000,20.5000,19.6300,20.3300,20.5500,10662210,213598805.2100,3,15.860800,1,-1.070600,31.702342,13.808025,-196.261795,7.014695,0
2022-11-04,sz.301389,20.4000,20.6600,20.1200,20.3300,20.3300,10869630,221527107.9500,3,16.169400,1,0.000000,31.702342,13.808025,-196.261795,7.014695,0
2022-11-07,sz.301389,20.0000,20.9400,19.9300,20.7800,20.3300,11794843,242494962.9400,3,17.545700,1,2.213500,32.404066,14.113662,-200.606005,7.169964,0
2022-11-08,sz.301389,20.6000,21.1000,20.2600,21.0600,20.7800,10041137,206673884.8900,3,14.936900,1,1.347400,32.840695,14.303837,-203.309070,7.266576,0
2022-11-09,sz.301389,21.2900,22.1200,21.0000,21.0200,21.0600,15855536,340980981.6000,3,23.586300,1,-0.189900,32.778319,14.276669,-202.922918,7.252774,0
2022-11-10,sz.301389,20.7700,22.0500,20.5400,21.8900,21.0200,16658049,355966533.1200,3,24.780100,1,4.138900,34.134986,14.867568,-211.321726,7.552960,0
2022-11-11,sz.301389,21.7900,23.3900,21.6100,22.1000,21.8900,20756745,466660388.2100,3,30.877200,1,0.959300,34.462458,15.010199,-213.349024,7.625419,0
2022-11-14,sz.301389,21.9000,21.9000,20.5000,20.7000,22.1000,14095916,293478273.1600,3,20.968700,1,-6.334800,32.279316,14.059327,-199.833701,7.142361,0
2022-11-15,sz.301389,20.6500,20.9600,20.4500,20.7500,20.7000,11155324,230666322.9900,3,16.594400,1,0.241500,32.357285,14.093287,-200.316391,7.159613,0
2022-11-16,sz.301389,20.5000,20.8300,20.4500,20.5500,20.7500,6382038,131497971.6400,3,9.493800,1,-0.963900,32.045407,13.957448,-198.385631,7.090605,0
2022-11-17,sz.301389,20.5600,20.5800,20.0100,20.3200,20.5500,7101104,143624035.1100,3,10.563400,1,-1.119200,31.686748,13.801233,-196.165257,7.011245,0
2022-11-18,sz.301389,20.2500,24.3800,20.2500,24.3800,20.3200,34650535,793475631.7800,3,51.545300,1,19.980300,38.017860,16.558763,-235.359693,8.412114,0
2022-11-21,sz.301389,23.2000,24.2700,22.5000,23.4500,24.3800,21851912,511251623.4900,3,32.506400,1,-3.814600,36.567630,15.927112,-226.381657,8.091225,0
2022-11-22,sz.301389,24.4100,25.3000,23.7000,24.2500,23.4500,21581541,530342629.8900,3,32.104200,1,3.411500,37.815140,16.470468,-234.104698,8.367258,0
2022-11-23,sz.301389,24.9400,25.8000,23.5800,24.2800,24.2500,15745210,388299436.9100,3,23.422200,1,0.123700,37.861922,16.490843,-234.394312,8.377610,0
2022-11-24,sz.301389,23.4400,24.3300,23.0800,23.3900,24.2800,12751712,300841688.7300,3,18.969100,1,-3.665600,36.474067,15.886360,-225.802429,8.070523,0
2022-11-25,sz.301389,23.1500,23.7500,21.8100,21.8200,23.3900,12098643,273462435.8300,3,17.997600,1,-6.712300,34.025829,14.820025,-210.645960,7.528807,0
2022-11-28,sz.301389,21.7000,22.2600,21.0000,21.9900,21.8200,11060290,237834373.9900,3,16.453000,1,0.779100,34.290925,14.935488,-212.287106,7.587465,0
2022-11-29,sz.301389,21.7100,21.9700,21.4800,21.7500,21.9900,9153633,199067472.2500,3,13.616700,1,-1.091400,33.916672,14.772481,-209.970193,7.504655,0
2022-11-30,sz.301389,21.7400,21.7400,21.2300,21.4500,21.7500,6497804,139512903.5700,3,9.666000,1,-1.379300,33.448856,14.568723,-207.074053,7.401142,0
2022-12-01,sz.301389,21.6500,22.0400,21.5200,21.6200,21.4500,7749044,168154529.4400,3,11.527300,1,0.792500,33.713952,14.684186,-208.715199,7.459799,0
2022-12-02,sz.301389,21.6600,21.7700,21.2000,21.3300,21.6200,7772889,166682567.9200,3,11.562800,1,-1.341400,33.261729,14.487219,-205.915597,7.359737,0
2022-12-05,sz.301389,21.3800,21.7200,21.1200,21.4900,21.3300,7008963,149898402.4400,3,10.426400,1,0.750100,33.511231,14.595891,-207.460205,7.414944,0
2022-12-06,sz.301389,21.4900,21.4900,21.1800,21.3800,21.4900,5811913,123740487.0900,3,8.645700,1,-0.511900,33.339699,14.521179,-206.398287,7.376989,0
2022-12-07,sz.301389,21.5500,22.1600,21.4500,21.5700,21.3800,9842571,213774532.0400,3,14.641600,1,0.888700,33.635982,14.650226,-208.232509,7.442547,0
2022-12-08,sz.301389,21.3100,21.3500,20.7000,20.7800,21.5700,8131812,170280804.7400,3,12.096700,1,-3.662500,32.404066,14.113662,-200.606005,7.169964,0
2022-12-09,sz.301389,20.8500,21.0400,20.5500,20.9200,20.7800,4331260,90110721.2500,3,6.443100,1,0.673700,32.622381,14.208750,-201.957538,7.218270,0
2022-12-12,sz.301389,20.7800,20.9900,20.5600,20.9600,20.9200,3810268,79184604.5800,3,5.668100,1,0.191200,32.684756,14.235917,-202.343690,7.232072,0
