date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-11-13,sh.603278,22.0500,22.0500,22.0500,22.0500,15.3100,33079,729392.0000,3,0.063613,1,44.023510,33.003756,2.549227,-94.140538,6.855102,0
2017-11-14,sh.603278,24.2600,24.2600,24.2600,24.2600,22.0500,4600,111596.0000,3,0.008846,1,10.022680,36.311616,2.804728,-103.575939,7.542166,0
2017-11-15,sh.603278,26.6900,26.6900,26.6900,26.6900,24.2600,5841,155896.0000,3,0.011233,1,10.016490,39.948765,3.085663,-113.950610,8.297626,0
2017-11-16,sh.603278,29.3600,29.3600,29.3600,29.3600,26.6900,27278,800882.0000,3,0.052458,1,10.003750,43.945138,3.394345,-125.349941,9.127700,0
2017-11-17,sh.603278,32.3000,32.3000,32.3000,32.3000,29.3600,228905,7393632.0000,3,0.440202,1,10.013620,48.345639,3.734242,-137.902013,10.041714,0
2017-11-20,sh.603278,32.3800,34.9900,30.1800,33.5200,32.3000,25259204,846294635.0000,3,48.575392,1,3.777094,50.171697,3.875287,-143.110695,10.420998,0
2017-11-21,sh.603278,31.0000,32.8800,30.1700,30.9300,33.5200,20349754,629341399.0000,3,39.134142,1,-7.726730,46.295065,3.575854,-132.052918,9.615796,0
2017-11-22,sh.603278,29.7600,30.1800,28.1300,28.8700,30.9300,14563387,426563991.0000,3,28.006513,1,-6.660198,43.211721,3.337695,-123.257929,8.975364,0
2017-11-23,sh.603278,28.0000,29.4900,27.8800,28.0200,28.8700,10485417,301645911.0000,3,20.164263,1,-2.944234,41.939467,3.239426,-119.628929,8.711109,0
2017-11-24,sh.603278,27.8300,28.2000,26.3100,26.4400,28.0200,10459313,283957176.0000,3,20.114063,1,-5.638829,39.574572,3.056760,-112.883257,8.219904,0
2017-11-27,sh.603278,26.1500,26.9800,25.2600,26.2000,26.4400,7489691,196660406.0000,3,14.403252,1,-0.907715,39.215348,3.029013,-111.858598,8.145291,0
2017-11-28,sh.603278,26.0200,26.6800,26.0100,26.3300,26.2000,5830788,153581418.0000,3,11.213054,1,0.496180,39.409928,3.044043,-112.413622,8.185706,0
2017-11-29,sh.603278,26.0100,26.3500,24.8100,25.6300,26.3300,8689131,221553268.0000,3,16.709867,1,-2.658567,38.362189,2.963115,-109.425033,7.968084,0
2017-11-30,sh.603278,25.6900,26.2900,25.4900,25.9400,25.6300,7232905,187931216.0000,3,13.909433,1,1.209525,38.826188,2.998954,-110.748551,8.064460,0
2017-12-01,sh.603278,26.1000,26.1000,25.3300,25.5700,25.9400,5305082,136102123.0000,3,10.202081,1,-1.426372,38.272383,2.956178,-109.168869,7.949431,0
2017-12-04,sh.603278,25.2500,25.2500,23.1500,23.3200,25.5700,8681415,209813166.0000,3,16.695029,1,-8.799374,34.904653,2.696053,-99.562691,7.249931,0
2017-12-05,sh.603278,23.3000,23.7600,22.4000,22.7400,23.3200,5612052,129497453.0000,3,10.792408,1,-2.487135,34.036527,2.628999,-97.086432,7.069615,0
2017-12-06,sh.603278,22.8500,23.4800,22.6300,23.4200,22.7400,5493772,126676027.0000,3,10.564946,1,2.990327,35.054330,2.707614,-99.989633,7.281020,0
2017-12-07,sh.603278,23.2300,23.4100,22.8700,22.8900,23.4200,4234152,97747150.0000,3,8.142600,1,-2.263026,34.261042,2.646340,-97.726844,7.116248,0
2017-12-08,sh.603278,22.6900,23.7800,22.6700,23.3200,22.8900,5527996,129288161.0000,3,10.630762,1,1.878551,34.904653,2.696053,-99.562691,7.249931,0
2017-12-11,sh.603278,23.1300,23.5000,23.1300,23.3500,23.3200,3581569,83490872.0000,3,6.887633,1,0.128648,34.949556,2.699521,-99.690774,7.259257,0
2017-12-12,sh.603278,23.2600,23.3000,22.3400,22.4200,23.3500,5460198,123862165.0000,3,10.500381,1,-3.982871,33.557561,2.592003,-95.720220,6.970131,0
2017-12-13,sh.603278,22.3200,22.5400,22.3000,22.4800,22.4200,2744298,61609982.0000,3,5.277496,1,0.267616,33.647367,2.598940,-95.976385,6.988784,0
2017-12-14,sh.603278,22.4900,24.5000,22.1800,23.4600,22.4800,7627828,179018131.0000,3,14.668900,1,4.359428,35.114201,2.712239,-100.160409,7.293455,0
2017-12-15,sh.603278,23.2800,23.3500,21.2200,23.0100,23.4600,4549527,104417787.0000,3,8.749090,1,-1.918154,34.440655,2.660214,-98.239174,7.153555,0
2017-12-18,sh.603278,23.0000,23.2000,22.2400,22.6800,23.0100,3496986,79305236.0000,3,6.724973,1,-1.434159,33.946721,2.622062,-96.830268,7.050962,0
2017-12-19,sh.603278,22.7500,23.2800,22.6000,23.1000,22.6800,3898847,89509381.0000,3,7.497783,1,1.851852,34.575364,2.670619,-98.623421,7.181535,0
2017-12-20,sh.603278,22.9500,23.1000,22.3900,22.4500,23.1000,2927011,66509985.0000,3,5.628867,1,-2.813851,33.602464,2.595471,-95.848303,6.979457,0
2017-12-21,sh.603278,22.4500,22.5200,21.6800,21.9900,22.4500,3739839,82473987.0000,3,7.191998,1,-2.049002,32.913950,2.542290,-93.884373,6.836448,0
2017-12-22,sh.603278,22.0300,22.4000,21.9300,22.0400,21.9900,2742029,60791897.0000,3,5.273133,1,0.227381,32.988789,2.548071,-94.097844,6.851993,0
