date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1993-04-26,sh.600643,42.0000,48.0000,42.0000,45.2400,70.0000,6978500,311297214.0000,3,34.892500,1,-35.371430,0.000000,0.000000,0.000000,0.000000,0
1993-04-27,sh.600643,45.5000,46.4800,43.1000,43.4000,45.2400,1488800,67322594.0000,3,7.444000,1,-4.067197,0.000000,0.000000,0.000000,0.000000,0
1993-04-28,sh.600643,43.5000,45.3000,43.5000,44.7000,43.4000,1090700,48495448.0000,3,5.453500,1,2.995390,0.000000,0.000000,0.000000,0.000000,0
1993-04-29,sh.600643,45.2000,45.2000,43.6000,43.7000,44.7000,894900,39655632.0000,3,4.474500,1,-2.237136,0.000000,0.000000,0.000000,0.000000,0
1993-04-30,sh.600643,43.7500,44.4000,43.5000,44.0900,43.7000,661300,29055449.0000,3,3.306500,1,0.892447,0.000000,0.000000,0.000000,0.000000,0
1993-05-03,sh.600643,44.0000,45.7200,43.7000,44.3000,44.0300,543000,24240542.0000,3,2.715000,1,0.613219,0.000000,0.000000,0.000000,0.000000,0
1993-05-04,sh.600643,44.5000,44.5000,39.2000,40.1000,44.3000,1112000,46311249.0000,3,5.560000,1,-9.480815,0.000000,0.000000,0.000000,0.000000,0
1993-05-05,sh.600643,39.0000,40.8900,38.2400,39.8000,40.1000,910800,36276154.0000,3,4.554000,1,-0.748128,0.000000,0.000000,0.000000,0.000000,0
1993-05-06,sh.600643,39.9000,40.0000,35.9000,36.4000,39.8000,1040900,38804145.0000,3,5.204500,1,-8.542708,0.000000,0.000000,0.000000,0.000000,0
1993-05-07,sh.600643,36.8000,37.9000,36.0000,36.8800,36.4000,769600,28330272.0000,3,3.848000,1,1.318680,0.000000,0.000000,0.000000,0.000000,0
1993-05-10,sh.600643,37.2100,37.6000,33.0100,33.6500,36.8800,734900,25402684.0000,3,3.674500,1,-8.758133,0.000000,0.000000,0.000000,0.000000,0
1993-05-11,sh.600643,32.0000,34.5000,32.0000,33.8500,33.6500,392500,13162509.0000,3,1.962500,1,0.594345,0.000000,0.000000,0.000000,0.000000,0
1993-05-12,sh.600643,34.3000,34.6000,33.5000,33.6800,33.8500,411800,14028178.0000,3,2.059000,1,-0.502210,0.000000,0.000000,0.000000,0.000000,0
1993-05-13,sh.600643,33.8000,34.6800,33.5000,34.4900,33.6800,271200,9251316.0000,3,1.356000,1,2.404992,0.000000,0.000000,0.000000,0.000000,0
1993-05-14,sh.600643,34.8100,35.3000,33.8000,34.2000,34.4900,461900,15960775.0000,3,2.309500,1,-0.840826,0.000000,0.000000,0.000000,0.000000,0
1993-05-17,sh.600643,33.0200,33.2100,31.5000,32.6000,34.2000,316300,10314402.0000,3,1.581500,1,-4.678370,0.000000,0.000000,0.000000,0.000000,0
1993-05-18,sh.600643,32.2800,33.0000,32.0000,32.1800,32.6000,180500,5857896.0000,3,0.902500,1,-1.288338,0.000000,0.000000,0.000000,0.000000,0
1993-05-19,sh.600643,32.2000,32.5400,31.8000,32.5000,32.1800,163800,5266142.0000,3,0.819000,1,0.994406,0.000000,0.000000,0.000000,0.000000,0
1993-05-20,sh.600643,32.9800,33.9000,32.8000,33.5000,32.5000,282300,9463203.0000,3,1.411500,1,3.076923,0.000000,0.000000,0.000000,0.000000,0
1993-05-21,sh.600643,33.6800,33.7700,32.2600,32.5400,33.5000,186900,6116107.0000,3,0.934500,1,-2.865669,0.000000,0.000000,0.000000,0.000000,0
1993-05-24,sh.600643,32.0000,32.4500,28.0100,28.3000,32.5400,597200,17633338.0000,3,2.986000,1,-13.030120,0.000000,0.000000,0.000000,0.000000,0
1993-05-25,sh.600643,27.8000,28.0000,26.5000,27.0500,28.3000,512900,13942202.0000,3,2.564500,1,-4.416961,0.000000,0.000000,0.000000,0.000000,0
1993-05-26,sh.600643,27.0000,27.6100,26.8000,27.1000,27.0500,404600,10986678.0000,3,2.023000,1,0.184847,0.000000,0.000000,0.000000,0.000000,0
1993-05-27,sh.600643,27.1000,27.1000,24.2100,25.8400,27.1000,380800,9860749.0000,3,1.904000,1,-4.649447,0.000000,0.000000,0.000000,0.000000,0
1993-05-28,sh.600643,25.8000,26.4800,25.5000,25.9800,25.8400,301000,7813837.0000,3,1.505000,1,0.541793,0.000000,0.000000,0.000000,0.000000,0
1993-05-31,sh.600643,26.0200,26.4900,25.0000,25.2000,25.9800,319200,8147301.0000,3,1.596000,1,-3.002305,0.000000,0.000000,0.000000,0.000000,0
1993-06-01,sh.600643,25.0900,25.3500,23.5000,25.0000,25.2000,362900,8714150.0000,3,1.814500,1,-0.793654,0.000000,0.000000,0.000000,0.000000,0
1993-06-02,sh.600643,25.6000,29.5000,24.5100,29.0000,25.0000,1298400,35043669.0000,3,6.492000,1,16.000000,0.000000,0.000000,0.000000,0.000000,0
1993-06-03,sh.600643,30.5000,34.5500,24.5000,27.9000,29.0000,1917900,58315749.0000,3,9.589500,1,-3.793105,0.000000,0.000000,0.000000,0.000000,0
1993-06-04,sh.600643,27.1000,27.9000,25.1800,26.5100,27.9000,740600,19671658.0000,3,3.703000,1,-4.982077,0.000000,0.000000,0.000000,0.000000,0
1993-06-07,sh.600643,26.8000,28.9200,25.5000,28.3000,26.5100,559600,15107600.0000,3,2.798000,1,6.752165,0.000000,0.000000,0.000000,0.000000,0
1993-06-08,sh.600643,29.3000,31.8000,28.4500,28.5000,28.3000,1471500,43482654.0000,3,7.357500,1,0.706716,0.000000,0.000000,0.000000,0.000000,0
1993-06-09,sh.600643,28.6800,29.8000,28.1000,28.4000,28.5000,300600,8574052.0000,3,1.503000,1,-0.350878,0.000000,0.000000,0.000000,0.000000,0
1993-06-10,sh.600643,29.5000,29.5000,27.0200,27.3000,28.4000,319300,8921636.0000,3,1.596500,1,-3.873241,0.000000,0.000000,0.000000,0.000000,0
1993-06-11,sh.600643,27.0100,27.8800,25.1000,27.4000,27.3000,206700,5607901.0000,3,1.033500,1,0.366302,0.000000,0.000000,0.000000,0.000000,0
1993-06-14,sh.600643,27.8000,27.8000,26.0000,26.6000,27.4000,264900,7106531.0000,3,1.324500,1,-2.919705,0.000000,0.000000,0.000000,0.000000,0
1993-06-15,sh.600643,25.1500,26.6000,25.1500,26.2500,26.6000,269200,6991422.0000,3,1.346000,1,-1.315791,0.000000,0.000000,0.000000,0.000000,0
1993-06-16,sh.600643,26.5000,26.5000,25.8000,26.2000,26.2500,129000,3385419.0000,3,0.645000,1,-0.190473,0.000000,0.000000,0.000000,0.000000,0
1993-06-17,sh.600643,26.5000,26.9800,25.9800,26.0700,26.2000,106100,2788851.0000,3,0.530500,1,-0.496187,0.000000,0.000000,0.000000,0.000000,0
1993-06-18,sh.600643,26.1000,26.5000,25.8000,26.1000,26.0700,115600,3013315.0000,3,0.578000,1,0.115077,0.000000,0.000000,0.000000,0.000000,0
1993-06-21,sh.600643,25.9800,26.0000,25.4000,25.7000,26.1000,186900,4803711.0000,3,0.934500,1,-1.532565,0.000000,0.000000,0.000000,0.000000,0
1993-06-22,sh.600643,25.8000,25.8900,25.6000,25.7700,25.7000,75800,1951628.0000,3,0.379000,1,0.272372,0.000000,0.000000,0.000000,0.000000,0
1993-06-23,sh.600643,25.8000,25.9800,25.6100,25.8800,25.7700,59200,1530388.0000,3,0.296000,1,0.426848,0.000000,0.000000,0.000000,0.000000,0
1993-06-24,sh.600643,26.0000,26.0800,24.9000,25.3800,25.8800,100300,2552887.0000,3,0.501500,1,-1.931994,0.000000,0.000000,0.000000,0.000000,0
1993-06-25,sh.600643,25.5000,27.5000,25.4000,25.9000,25.3800,142500,3688468.0000,3,0.712500,1,2.048859,0.000000,0.000000,0.000000,0.000000,0
1993-06-28,sh.600643,26.0000,26.5000,25.4300,26.0000,25.9000,88500,2295462.0000,3,0.442500,1,0.386102,0.000000,0.000000,0.000000,0.000000,0
1993-06-29,sh.600643,26.0500,27.0900,26.0300,26.4000,26.0000,200900,5322549.0000,3,1.004500,1,1.538460,0.000000,0.000000,0.000000,0.000000,0
1993-06-30,sh.600643,26.8000,26.8500,25.5200,25.7500,26.4000,123000,3227788.0000,3,0.615000,1,-2.462120,0.000000,0.000000,0.000000,0.000000,0
1993-07-01,sh.600643,25.8000,25.8000,25.2000,25.5000,25.7500,101700,2600555.0000,3,0.508500,1,-0.970874,0.000000,0.000000,0.000000,0.000000,0
1993-07-02,sh.600643,25.7000,25.7000,25.2000,25.2500,25.5000,118500,3014565.0000,3,0.592500,1,-0.980392,0.000000,0.000000,0.000000,0.000000,0
1993-07-05,sh.600643,25.2000,25.2000,23.9000,24.3400,25.2500,280800,6838737.0000,3,1.404000,1,-3.603960,0.000000,0.000000,0.000000,0.000000,0
