date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1996-05-16,sh.600705,10.2800,11.7900,10.0500,11.2000,3.5000,23056187,244162321.0000,3,71.692124,1,220.000000,47.533742,10.977265,0.000000,3.924202,0
1996-05-17,sh.600705,10.9300,11.7000,10.9300,11.3300,11.2000,12633337,142269864.0000,3,39.282764,1,1.160715,48.085473,11.104680,0.000000,3.969751,0
1996-05-20,sh.600705,11.6000,12.7500,11.6000,12.4000,11.3300,13084641,160489056.0000,3,40.686073,1,9.443952,52.626643,12.153401,0.000000,4.344653,0
1996-05-21,sh.600705,12.3100,12.5800,11.8000,11.8500,12.4000,7756464,94977876.0000,3,24.118358,1,-4.435478,50.292396,11.614339,0.000000,4.151946,0
1996-05-22,sh.600705,11.8000,12.3000,11.6100,12.0500,11.8500,5164080,61780175.0000,3,16.057463,1,1.687762,51.141213,11.810361,0.000000,4.222021,0
1996-05-23,sh.600705,12.0500,12.0700,11.0500,11.1500,12.0500,3440308,39749000.0000,3,10.697475,1,-7.468884,47.321537,10.928260,0.000000,3.906683,0
1996-05-24,sh.600705,11.0500,11.2700,10.7100,10.8000,11.1500,3063296,33834813.0000,3,9.525174,1,-3.139009,45.836108,10.585220,0.000000,3.784052,0
1996-05-27,sh.600705,11.0000,11.2500,10.8700,11.1200,10.8000,1479516,16413546.0000,3,4.600485,1,2.962960,47.194215,10.898856,0.000000,3.896172,0
1996-05-28,sh.600705,11.1800,11.4000,11.0000,11.4000,11.1200,1594908,17796056.0000,3,4.959291,1,2.517983,48.382558,11.173288,0.000000,3.994277,0
1996-05-29,sh.600705,11.4000,11.5400,11.2200,11.4000,11.4000,1377403,15687881.0000,3,4.282970,1,0.000000,48.382558,11.173288,0.000000,3.994277,0
1996-05-30,sh.600705,11.1500,11.3600,10.0300,11.2500,11.4000,1100029,12273885.0000,3,3.420488,1,-1.315786,47.745946,11.026271,0.000000,3.941721,0
1996-05-31,sh.600705,11.2300,12.1000,11.0200,11.6900,11.2500,3086333,36072723.0000,3,9.596807,1,3.911107,49.613343,11.457521,0.000000,4.095886,0
1996-06-03,sh.600705,11.7200,11.9000,11.3000,11.4300,11.6900,2734697,31802227.0000,3,8.503411,1,-2.224117,48.509881,11.202691,0.000000,4.004789,0
1996-06-04,sh.600705,11.4500,11.8000,11.4300,11.6600,11.4300,1837908,21388071.0000,3,5.714888,1,2.012244,49.486020,11.428117,0.000000,4.085375,0
1996-06-05,sh.600705,11.7000,12.3800,11.5500,12.3300,11.6600,3733859,44751545.0000,3,11.610258,1,5.746141,52.329557,12.084793,0.000000,4.320126,0
1996-06-06,sh.600705,12.3500,12.4300,11.5100,11.7200,12.3300,3014599,36116391.0000,3,9.373753,1,-4.947280,49.740665,11.486924,0.000000,4.106397,0
