date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1994-01-28,sh.600816,10.5000,10.5000,9.0200,9.0500,1.5000,5925200,57452162.0000,3,11.994818,1,503.333300,0.000000,0.000000,0.000000,0.000000,0
1994-01-31,sh.600816,8.6000,8.8000,7.9000,8.5000,9.0500,5867700,48786074.0000,3,11.878416,1,-6.077350,0.000000,0.000000,0.000000,0.000000,0
1994-02-01,sh.600816,8.3000,8.7500,8.2100,8.3200,8.5000,3912500,33229538.0000,3,7.920361,1,-2.117651,0.000000,0.000000,0.000000,0.000000,0
1994-02-02,sh.600816,8.3500,9.0700,8.3500,9.0400,8.3200,7309850,64463993.0000,3,14.797866,1,8.653850,0.000000,0.000000,0.000000,0.000000,0
1994-02-03,sh.600816,9.0900,9.7500,9.0800,9.5600,9.0400,11884430,111972557.2100,3,24.058525,1,5.752217,0.000000,0.000000,0.000000,0.000000,0
1994-02-04,sh.600816,9.6600,10.3000,9.4400,10.2200,9.5600,11559260,113644055.8000,3,23.400259,1,6.903764,0.000000,0.000000,0.000000,0.000000,0
1994-02-14,sh.600816,10.9700,12.7700,10.8400,11.8000,10.2200,17799310,213633610.8000,3,36.032451,1,15.459880,32.795510,21.268689,0.000000,6.136934,0
1994-02-15,sh.600816,11.9500,12.1400,11.0000,11.3300,11.8000,11095702,127645288.7900,3,22.461845,1,-3.983053,31.489248,20.421547,0.000000,5.892496,0
1994-02-16,sh.600816,11.4600,11.7500,11.2000,11.3100,11.3300,6245450,71761341.9500,3,12.643123,1,-0.176518,31.433662,20.385498,0.000000,5.882095,0
1994-02-17,sh.600816,11.3100,11.3100,11.3100,11.3100,11.3100,0,0.0000,3,,1,0.000000,31.433662,20.385498,0.000000,5.882095,0
1994-02-18,sh.600816,11.0000,11.0000,10.5100,10.5800,11.3100,5759170,61334548.7000,3,11.658711,1,-6.454469,29.404788,19.069723,0.000000,5.502437,0
1994-02-21,sh.600816,10.7000,10.7500,10.0300,10.1700,10.5800,3424200,35091934.5000,3,6.931860,1,-3.875235,28.265283,18.330726,0.000000,5.289205,0
1994-02-22,sh.600816,10.0300,11.5800,10.0000,11.5000,10.1700,17734445,195560370.3600,3,35.901140,1,13.077680,31.961726,20.727960,0.000000,5.980910,0
1994-02-23,sh.600816,11.6800,11.7000,11.0400,11.1900,11.5000,10542372,119206752.8000,3,21.341698,1,-2.695656,31.100149,20.169206,0.000000,5.819685,0
1994-02-24,sh.600816,11.2000,12.1000,10.8000,12.0000,11.1900,12705845,146827740.7900,3,25.721375,1,7.238610,33.351366,21.629176,0.000000,6.240949,0
1994-02-25,sh.600816,12.4800,13.9800,12.3800,13.7700,12.0000,35232215,463954763.1500,3,71.323161,1,14.750000,38.270692,24.819479,0.000000,7.161489,0
1994-02-28,sh.600816,13.7300,14.6300,13.0400,13.0700,13.7700,27987942,386643197.0000,3,56.658047,1,-5.083520,36.325196,23.557777,0.000000,6.797434,0
1994-03-01,sh.600816,13.0700,13.0700,13.0700,13.0700,13.0700,0,0.0000,3,,1,0.000000,36.325196,23.557777,0.000000,6.797434,0
1994-03-02,sh.600816,12.0000,12.8700,11.8300,12.0600,13.0700,18948096,233352046.2700,3,38.358023,1,-7.727615,33.518123,21.737322,0.000000,6.272154,0
1994-03-03,sh.600816,12.1100,12.7700,11.8800,12.1700,12.0600,8589806,105233281.0000,3,17.388975,1,0.912103,33.823844,21.935589,0.000000,6.329363,0
1994-03-04,sh.600816,12.2700,12.6500,12.2000,12.6300,12.1700,8748771,109031034.0000,3,17.710780,1,3.779787,35.102313,22.764707,0.000000,6.568599,0
1994-03-07,sh.600816,10.1500,10.7200,9.9000,10.7000,9.3800,10898158,112266910.0000,3,18.384951,1,14.072490,35.446190,22.987720,0.000000,6.632948,0
1994-03-08,sh.600816,11.3200,12.2500,10.8800,12.1600,10.7000,35270132,400731720.0000,3,59.499933,1,13.644860,40.282772,26.124362,0.000000,7.538004,0
1994-03-09,sh.600816,12.4800,13.2500,11.8100,12.7500,12.1600,30579062,381377130.0000,3,51.586201,1,4.851975,42.237282,27.391909,0.000000,7.903746,0
1994-03-10,sh.600816,12.5000,12.7000,11.3000,11.5500,12.7500,19888315,241383659.0000,3,33.551147,1,-9.411763,38.262008,24.813847,0.000000,7.159864,0
1994-03-11,sh.600816,11.4500,12.4800,11.3200,12.3500,11.5500,16149622,196289631.0000,3,27.244055,1,6.926408,40.912191,26.532555,0.000000,7.655786,0
1994-03-14,sh.600816,13.3600,13.7000,12.8500,13.2000,12.3500,27437600,361641163.0000,3,46.286624,1,6.882586,43.728010,28.358683,0.000000,8.182702,0
1994-03-15,sh.600816,13.2000,13.2000,12.5000,12.6500,13.2000,8726865,112294502.0000,3,14.722028,1,-4.166668,41.906009,27.177071,0.000000,7.841756,0
1994-03-16,sh.600816,12.6000,13.4600,12.5500,13.1900,12.6500,11985831,157152949.0000,3,20.219832,1,4.268775,43.694882,28.337199,0.000000,8.176503,0
1994-03-17,sh.600816,13.3000,13.3000,12.5000,12.5500,13.1900,6407770,81938191.0000,3,10.809766,1,-4.852156,41.574736,26.962232,0.000000,7.779766,0
1994-03-18,sh.600816,12.4800,12.8800,11.9200,12.4000,12.5500,9700827,120210629.0000,3,16.365081,1,-1.195224,41.077827,26.639975,0.000000,7.686781,0
1994-03-21,sh.600816,11.9900,12.6000,11.8800,12.1000,12.4000,10563860,129803387.0000,3,14.256799,1,-2.419349,44.993395,29.179316,0.000000,8.419490,0
1994-03-22,sh.600816,12.2000,12.3100,12.0300,12.2300,12.1000,3787575,46216477.0000,3,5.111644,1,1.074373,45.476795,29.492813,0.000000,8.509947,0
1994-03-23,sh.600816,12.2000,12.2000,11.6100,11.7200,12.2300,5299540,62828287.0000,3,7.152165,1,-4.170068,43.580379,28.262941,0.000000,8.155076,0
1994-03-24,sh.600816,11.5200,12.1800,11.3500,11.5000,11.7200,4748995,55635581.0000,3,6.409160,1,-1.877135,42.762317,27.732408,0.000000,8.001995,0
1994-03-25,sh.600816,11.6500,11.7300,11.2800,11.3800,11.5000,4914383,56166993.0000,3,6.632364,1,-1.043477,42.316102,27.443026,0.000000,7.918496,0
1994-03-28,sh.600816,11.0000,11.3000,10.8800,11.0600,11.3800,3699134,41025970.0000,3,4.992286,1,-2.811948,41.126194,26.671342,0.000000,7.695831,0
1994-03-29,sh.600816,11.2000,12.3700,11.0600,11.8800,11.0600,17465705,208824844.0000,3,23.571406,1,7.414102,44.175333,28.648783,0.000000,8.266408,0
1994-03-30,sh.600816,12.1000,12.1700,11.4100,11.5000,11.8800,7195887,84744323.0000,3,9.711442,1,-3.198654,42.762317,27.732408,0.000000,8.001995,0
1994-03-31,sh.600816,11.5000,11.6600,11.3100,11.4000,11.5000,3229729,37044064.0000,3,4.358785,1,-0.869568,42.390471,27.491256,0.000000,7.932412,0
1994-04-01,sh.600816,11.4500,11.6700,11.2000,11.4500,11.4000,2250258,25788921.0000,3,3.036908,1,0.438598,42.576394,27.611832,0.000000,7.967203,0
1994-04-04,sh.600816,11.5000,11.5800,11.2400,11.2800,11.4500,1775950,20140224.0000,3,2.396791,1,-1.484717,41.944256,27.201875,0.000000,7.848913,0
1994-04-05,sh.600816,11.3000,11.5000,11.1500,11.2400,11.2800,1431480,16132197.0000,3,1.931900,1,-0.354610,41.795517,27.105414,0.000000,7.821080,0
1994-04-06,sh.600816,11.2400,11.3800,11.1000,11.1800,11.2400,1283687,14390584.0000,3,1.732441,1,-0.533803,41.572409,26.960723,0.000000,7.779331,0
1994-04-07,sh.600816,11.2000,11.2900,11.0100,11.0800,11.1800,1258590,14026315.0000,3,1.698571,1,-0.894458,41.200563,26.719572,0.000000,7.709748,0
1994-04-08,sh.600816,11.1000,11.2000,11.0100,11.1500,11.0800,1216651,13500039.0000,3,1.641971,1,0.631766,41.460855,26.888378,0.000000,7.758456,0
1994-04-11,sh.600816,11.0600,11.2300,11.0100,11.0100,11.1500,1160862,12900877.0000,3,1.566679,1,-1.255600,40.940271,26.550766,0.000000,7.661040,0
1994-04-12,sh.600816,11.0300,11.3900,11.0300,11.2800,11.0100,2415896,27172061.0000,3,3.260450,1,2.452312,41.944256,27.201875,0.000000,7.848913,0
1994-04-13,sh.600816,11.4100,11.4200,11.0200,11.3000,11.2800,2868128,32206608.0000,3,3.870775,1,0.177309,42.018625,27.250105,0.000000,7.862830,0
1994-04-14,sh.600816,11.2000,11.2400,10.7000,10.9000,11.3000,2534223,27899314.0000,3,3.420143,1,-3.539828,40.531240,26.285499,0.000000,7.584499,0
1994-04-15,sh.600816,10.7000,10.7900,9.6200,10.6000,10.9000,5234394,54005068.0000,3,7.064246,1,-2.752287,39.415701,25.562045,0.000000,7.375752,0
1994-04-18,sh.600816,10.4800,10.4800,10.0100,10.0800,10.6000,2218270,22633765.0000,3,2.993738,1,-4.905664,37.482101,24.308058,0.000000,7.013922,0
1994-04-19,sh.600816,9.8900,10.1000,9.3800,9.3800,10.0800,1643620,16117666.0000,3,2.218200,1,-6.944443,34.879177,22.619999,0.000000,6.526844,0
1994-04-20,sh.600816,9.1600,9.5900,8.8400,9.0000,9.3800,5090414,46775434.0000,3,6.869933,1,-4.051174,33.466161,21.703623,0.000000,6.262431,0
1994-04-21,sh.600816,9.0500,10.4800,9.0500,10.4000,9.0000,8728518,85353478.0000,3,11.779853,1,15.555550,38.672009,25.079743,0.000000,7.236587,0
1994-04-22,sh.600816,10.2800,10.6700,9.8200,9.9000,10.4000,12311119,126465854.0000,3,16.614868,1,-4.807693,36.812778,23.873986,0.000000,6.888674,0
1994-04-25,sh.600816,9.9000,10.1000,9.5800,9.6000,9.9000,2521895,24697623.0000,3,3.403505,1,-3.030295,35.697239,23.150532,0.000000,6.679926,0
1994-04-26,sh.600816,9.8800,10.1900,9.7000,10.0900,9.6000,2837279,28243045.0000,3,3.829142,1,5.104164,37.519285,24.332173,0.000000,7.020881,0
1994-04-27,sh.600816,10.2000,10.2600,10.0500,10.2200,10.0900,3438050,34976744.0000,3,4.639931,1,1.288405,38.002685,24.645670,0.000000,7.111338,0
1994-04-28,sh.600816,10.3100,10.4700,9.8000,9.9000,10.2200,4028412,41099543.0000,3,5.436674,1,-3.131122,36.812778,23.873986,0.000000,6.888674,0
1994-04-29,sh.600816,9.8800,10.0900,9.6500,9.7600,9.9000,2265490,22297250.0000,3,3.057465,1,-1.414135,36.292193,23.536374,0.000000,6.791258,0
1994-05-03,sh.600816,9.7600,9.9500,9.6700,9.9500,9.7600,993038,9709457.0000,3,1.340187,1,1.946717,36.998701,23.994561,0.000000,6.923465,0
1994-05-04,sh.600816,10.1000,10.3500,9.9000,10.2800,9.9500,3305915,33598641.0000,3,4.461604,1,3.316582,38.225793,24.790361,0.000000,7.153087,0
1994-05-05,sh.600816,10.1500,10.1700,9.7000,9.7200,10.2800,2377290,23537945.0000,3,3.208349,1,-5.447466,36.143454,23.439913,0.000000,6.763425,0
1994-05-06,sh.600816,9.7200,9.8000,9.2900,9.4500,9.7200,1722121,16349643.0000,3,2.324144,1,-2.777782,35.139469,22.788805,0.000000,6.575552,0
1994-05-09,sh.600816,9.4000,9.6800,9.3200,9.4500,9.4500,1511727,14355697.0000,3,2.040200,1,0.000000,35.139469,22.788805,0.000000,6.575552,0
1994-05-10,sh.600816,9.5000,9.6000,9.4100,9.5800,9.4500,916952,8746698.0000,3,1.237502,1,1.375663,35.622870,23.102301,0.000000,6.666010,0
1994-05-11,sh.600816,9.7000,9.9700,9.6000,9.6000,9.5800,2290239,22494184.0000,3,3.090866,1,0.208773,35.697239,23.150532,0.000000,6.679926,0
1994-05-12,sh.600816,9.4000,9.6000,9.3400,9.4000,9.6000,1070320,10139714.0000,3,1.444485,1,-2.083341,34.953546,22.668229,0.000000,6.540761,0
1994-05-13,sh.600816,9.2000,9.5500,9.2000,9.5500,9.4000,764650,7149928.0000,3,1.031958,1,1.595751,35.511316,23.029956,0.000000,6.645135,0
1994-05-16,sh.600816,9.5600,9.7400,9.4500,9.5500,9.5500,1028218,9880477.0000,3,1.387665,1,0.000000,35.511316,23.029956,0.000000,6.645135,0
1994-05-17,sh.600816,9.6100,9.8900,9.5900,9.6400,9.5500,2391267,23398003.0000,3,3.227212,1,0.942410,35.845977,23.246992,0.000000,6.707759,0
1994-05-18,sh.600816,9.7500,9.7500,9.3800,9.3800,9.6400,679701,6453151.0000,3,0.917312,1,-2.697098,34.879177,22.619999,0.000000,6.526844,0
