date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2001-03-29,sh.600363,23.0000,24.4800,23.0000,24.0000,6.6600,40931847,974121947.0000,3,68.219745,1,260.360400,194.291034,12.194541,0.000000,21.969536,0
2001-03-30,sh.600363,24.2500,25.7000,24.2500,25.2000,24.0000,16494666,412867748.0000,3,27.491110,1,5.000003,204.005586,12.804268,0.000000,23.068013,0
2001-04-02,sh.600363,25.3600,25.8100,25.1600,25.3800,25.2000,10052078,256191834.0000,3,16.753463,1,0.714279,205.462768,12.895727,0.000000,23.232784,0
2001-04-03,sh.600363,25.4800,26.1600,25.0300,26.1300,25.3800,4741317,121188782.0000,3,7.902195,1,2.955083,211.534363,13.276806,0.000000,23.919332,0
2001-04-04,sh.600363,26.1300,26.3700,25.2200,25.6100,26.1300,5269317,136660981.0000,3,8.782195,1,-1.990044,207.324724,13.012591,0.000000,23.443326,0
2001-04-05,sh.600363,25.5800,26.5100,25.4500,26.5000,25.6100,4641926,121472215.0000,3,7.736543,1,3.475203,214.529683,13.464805,0.000000,24.258029,0
2001-04-06,sh.600363,26.6000,26.6600,26.0700,26.2500,26.5000,3184613,83839641.0000,3,5.307688,1,-0.943396,212.505818,13.337779,0.000000,24.029180,0
2001-04-09,sh.600363,26.2500,26.4000,25.7200,26.0000,26.2500,2409323,62597378.0000,3,4.015538,1,-0.952381,210.481953,13.210753,0.000000,23.800330,0
2001-04-10,sh.600363,26.0500,26.2800,25.8100,26.1900,26.0000,1671146,43619536.0000,3,2.785243,1,0.730771,212.020091,13.307293,0.000000,23.974256,0
2001-04-11,sh.600363,26.2000,26.2500,25.7000,25.8200,26.1900,2080127,53876944.0000,3,3.466878,1,-1.412756,209.024771,13.119293,0.000000,23.635559,0
2001-04-12,sh.600363,25.8000,26.2000,25.5200,25.6800,25.8200,2325062,60105822.0000,3,3.875103,1,-0.542213,207.891406,13.048159,0.000000,23.507403,0
2001-04-13,sh.600363,25.8000,26.2000,25.5800,26.1000,25.6800,2250893,58220174.0000,3,3.751488,1,1.635514,211.291499,13.261563,0.000000,23.891870,0
2001-04-16,sh.600363,26.2000,26.9000,26.0800,26.7000,26.1000,3737115,98995296.0000,3,6.228525,1,2.298852,216.148775,13.566427,0.000000,24.441109,0
2001-04-17,sh.600363,27.0000,27.1500,26.5000,26.8500,26.7000,2685022,72038886.0000,3,4.475037,1,0.561796,217.363094,13.642642,0.000000,24.578418,0
2001-04-18,sh.600363,26.8200,26.9500,26.3800,26.5000,26.8500,2275713,60484745.0000,3,3.792855,1,-1.303540,214.529683,13.464805,0.000000,24.258029,0
2001-04-19,sh.600363,26.5000,27.8800,26.4100,27.5500,26.5000,4047458,110686393.0000,3,6.745763,1,3.962261,223.029916,13.998317,0.000000,25.219196,0
2001-04-20,sh.600363,27.5700,28.2000,26.8100,26.9000,27.5500,4047799,111878514.0000,3,6.746332,1,-2.359345,217.767867,13.668048,0.000000,24.624188,0
2001-04-23,sh.600363,26.8800,27.4900,26.5800,27.1500,26.9000,2521072,67909941.0000,3,4.201787,1,0.929368,219.791732,13.795074,0.000000,24.853037,0
2001-04-24,sh.600363,27.0100,27.3000,26.7800,26.9000,27.1500,1578861,42581313.0000,3,2.631435,1,-0.920810,217.767867,13.668048,0.000000,24.624188,0
2001-04-25,sh.600363,26.2000,26.5000,25.1800,25.4500,26.9000,2324028,60058686.0000,3,3.873380,1,-5.390330,246.295117,8.846597,358.832978,23.412866,0
2001-04-26,sh.600363,25.4000,25.6800,24.7600,25.1000,25.4500,1724178,43467716.0000,3,2.873630,1,-1.375247,242.907954,8.724934,353.898143,23.090881,0
2001-04-27,sh.600363,25.1200,25.4800,25.0400,25.3500,25.1000,1036396,26156251.0000,3,1.727327,1,0.996016,245.327356,8.811836,357.423025,23.320870,0
2001-04-30,sh.600363,25.3500,25.5000,25.0000,25.1000,25.3500,796597,20050811.0000,3,1.327662,1,-0.986193,242.907954,8.724934,353.898143,23.090881,0
2001-05-08,sh.600363,25.1500,25.6700,25.1500,25.4000,25.1000,492389,12512207.0000,3,0.820648,1,1.195216,245.811236,8.829216,358.128002,23.366868,0
2001-05-09,sh.600363,25.4000,25.5900,24.8000,24.9500,25.4000,1151520,28858523.0000,3,1.919200,1,-1.771649,241.456313,8.672793,351.783214,22.952888,0
2001-05-10,sh.600363,25.0000,25.1000,24.7500,24.8100,24.9500,1148445,28525540.0000,3,1.914075,1,-0.561127,240.101448,8.624128,349.809280,22.824094,0
2001-05-11,sh.600363,24.8500,25.4800,24.8500,25.3500,24.8100,563016,14182224.0000,3,0.938360,1,2.176545,245.327356,8.811836,357.423025,23.320870,0
2001-05-14,sh.600363,25.3500,26.1000,25.3500,26.0200,25.3500,1148050,29644253.0000,3,1.913417,1,2.642998,251.811353,9.044733,366.869709,23.937240,0
2001-05-15,sh.600363,26.1500,26.2700,25.5800,25.8200,26.0200,892243,23089956.0000,3,1.487072,1,-0.768642,249.875832,8.975211,364.049803,23.753249,0
2001-05-16,sh.600363,25.8800,26.0800,25.6900,25.9100,25.8200,662885,17136429.0000,3,1.104808,1,0.348568,250.746816,9.006496,365.318761,23.836045,0
2001-05-17,sh.600363,25.9100,25.9600,25.4800,25.5000,25.9100,848782,21738834.0000,3,1.414637,1,-1.582400,246.778997,8.863977,359.537954,23.458863,0
2001-05-18,sh.600363,25.5000,25.8000,25.1700,25.7600,25.5000,1083453,27552048.0000,3,1.805755,1,1.019609,249.295175,8.954355,363.203831,23.698052,0
2001-05-21,sh.600363,26.0000,26.1000,25.6500,25.8300,25.7600,837987,21657287.0000,3,1.396645,1,0.271738,249.972608,8.978687,364.190798,23.762449,0
2001-05-22,sh.600363,25.8500,25.9300,25.3000,25.4800,25.8300,568387,14527034.0000,3,0.947312,1,-1.355015,246.585445,8.857025,359.255964,23.440464,0
2001-05-23,sh.600363,25.4000,25.5500,25.0100,25.1900,25.4800,732331,18478589.0000,3,1.220552,1,-1.138144,243.778939,8.756219,355.167101,23.173677,0
2001-05-24,sh.600363,25.0500,25.5000,25.0100,25.1000,25.1900,801717,20140703.0000,3,1.336195,1,-0.357285,242.907954,8.724934,353.898143,23.090881,0
2001-05-25,sh.600363,25.2000,25.3000,24.5200,24.8300,25.1000,898585,22352718.0000,3,1.497642,1,-1.075699,240.295000,8.631081,350.091271,22.842493,0
2001-05-29,sh.600363,24.9000,25.2800,24.6800,24.7300,24.8300,390650,9707500.0000,3,0.651083,1,-0.402740,239.327239,8.596320,348.681318,22.750498,0
2001-05-30,sh.600363,24.7000,25.2000,24.6800,25.1500,24.7300,441246,11001309.0000,3,0.735410,1,1.698343,243.391835,8.742315,354.603120,23.136879,0
2001-05-31,sh.600363,25.2000,25.2600,24.8000,24.8700,25.1500,685688,17086505.0000,3,1.142813,1,-1.113315,240.682104,8.644985,350.655252,22.879292,0
2001-06-01,sh.600363,24.9000,24.9500,24.7000,24.7800,24.8700,614945,15236941.0000,3,1.024908,1,-0.361882,239.811120,8.613700,349.386294,22.796496,0
2001-06-04,sh.600363,24.8500,25.1500,24.6000,25.0600,24.7800,649998,16113325.0000,3,1.083330,1,1.129939,242.520850,8.711030,353.334162,23.054083,0
2001-06-05,sh.600363,25.1500,25.5000,25.1500,25.1600,25.0600,527050,13338517.0000,3,0.878417,1,0.399044,243.488611,8.745791,354.744115,23.146079,0
2001-06-06,sh.600363,25.2000,25.2500,24.9800,25.0200,25.1600,501894,12583477.0000,3,0.836490,1,-0.556436,242.133746,8.697126,352.770181,23.017285,0
2001-06-07,sh.600363,25.0000,25.2300,24.8100,25.2000,25.0200,501462,12507756.0000,3,0.835770,1,0.719426,243.875715,8.759695,355.308096,23.182877,0
2001-06-08,sh.600363,25.2200,25.2500,24.8800,25.0400,25.2000,262731,6569506.0000,3,0.437885,1,-0.634920,242.327298,8.704078,353.052172,23.035684,0
2001-06-11,sh.600363,25.0000,25.0000,24.7500,24.8100,25.0400,434656,10789176.0000,3,0.724427,1,-0.918536,240.101448,8.624128,349.809280,22.824094,0
2001-06-12,sh.600363,24.8100,25.4800,24.8000,25.4700,24.8100,346206,8707779.0000,3,0.577010,1,2.660217,246.488669,8.853549,359.114968,23.431265,0
2001-06-13,sh.600363,25.6000,25.9200,25.5500,25.8000,25.4700,1511724,38961976.0000,3,2.519540,1,1.295642,249.682280,8.968259,363.767813,23.734850,0
2001-06-14,sh.600363,25.8000,25.9400,25.1800,25.2000,25.8000,936849,24039198.0000,3,1.561415,1,-2.325576,243.875715,8.759695,355.308096,23.182877,0
2001-06-15,sh.600363,25.1000,25.6000,25.0000,25.6000,25.2000,694741,17646032.0000,3,1.157902,1,1.587300,247.746758,8.898738,360.947907,23.550859,0
2001-06-18,sh.600363,25.6300,26.0600,25.5800,25.8800,25.6000,1479838,38225736.0000,3,2.466397,1,1.093745,250.456488,8.996068,364.895775,23.808447,0
2001-06-19,sh.600363,25.8800,25.9500,25.5000,25.9000,25.8800,482293,12397105.0000,3,0.803822,1,0.077282,250.650040,9.003020,365.177765,23.826846,0
2001-06-20,sh.600363,25.9000,26.0800,25.5000,25.5300,25.9000,352090,9077259.0000,3,0.586817,1,-1.428567,247.069325,8.874405,359.960940,23.486462,0
2001-06-21,sh.600363,25.7000,26.1200,25.5800,26.0100,25.5300,905767,23478781.0000,3,1.509612,1,1.880139,251.714577,9.041257,366.728713,23.928041,0
2001-06-22,sh.600363,26.1000,26.4800,26.0300,26.1200,26.0100,1355949,35631504.0000,3,2.259915,1,0.422917,252.779114,9.079494,368.279661,24.029236,0
2001-06-25,sh.600363,26.3600,26.4300,26.1300,26.2800,26.1200,787636,20698925.0000,3,1.312727,1,0.612557,254.327531,9.135111,370.535586,24.176429,0
2001-06-26,sh.600363,26.3200,27.3800,26.1600,26.7400,26.2800,3899013,104646438.0000,3,6.498355,1,1.750377,258.779231,9.295010,377.021369,24.599608,0
2001-06-27,sh.600363,27.0000,27.0000,26.4900,26.5700,26.7400,958889,25486275.0000,3,1.598148,1,-0.635752,257.134038,9.235917,374.624449,24.443216,0
2001-06-28,sh.600363,26.5600,26.7700,26.0000,26.0900,26.5700,1116780,29313728.0000,3,1.861300,1,-1.806547,252.488786,9.069065,367.856676,24.001637,0
2001-06-29,sh.600363,26.0200,26.3500,26.0200,26.0800,26.0900,558600,14625560.0000,3,0.931000,1,-0.038330,252.392010,9.065589,367.715680,23.992438,0
2001-07-02,sh.600363,26.3000,26.3000,25.6500,25.6600,26.0800,532000,13711444.0000,3,0.886667,1,-1.610430,248.327415,8.919594,361.793879,23.606056,0
2001-07-03,sh.600363,25.6600,26.0000,25.4000,25.8600,25.6600,444369,11384284.0000,3,0.740615,1,0.779426,250.262936,8.989116,364.613784,23.790047,0
2001-07-04,sh.600363,25.9000,25.9000,25.4500,25.5000,25.8200,225028,5761588.0000,3,0.375047,1,-1.239348,246.778997,8.863977,359.537954,23.458863,0
2001-07-05,sh.600363,25.4500,25.4500,25.1000,25.1900,25.5000,520900,13159151.0000,3,0.868167,1,-1.215684,243.778939,8.756219,355.167101,23.173677,0
2001-07-06,sh.600363,25.2900,25.4500,25.0200,25.1800,25.1900,320961,8093369.0000,3,0.534935,1,-0.039699,243.682163,8.752743,355.026105,23.164478,0
2001-07-09,sh.600363,25.0800,25.5000,25.0800,25.3500,25.1800,214978,5415479.0000,3,0.358297,1,0.675139,245.327356,8.811836,357.423025,23.320870,0
2001-07-10,sh.600363,25.3500,25.5000,25.3000,25.4800,25.3500,181556,4615460.0000,3,0.302593,1,0.512817,246.585445,8.857025,359.255964,23.440464,0
2001-07-11,sh.600363,25.4000,25.5800,25.1700,25.1800,25.4800,188730,4795231.0000,3,0.314550,1,-1.177391,243.682163,8.752743,355.026105,23.164478,0
2001-07-12,sh.600363,24.9900,25.2000,24.9900,25.1000,25.1800,242790,6086265.0000,3,0.404650,1,-0.317712,242.907954,8.724934,353.898143,23.090881,0
2001-07-13,sh.600363,25.1300,25.5900,25.1000,25.1300,25.1000,162161,4095572.0000,3,0.270268,1,0.119517,243.198282,8.735363,354.321129,23.118480,0
