date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2004-03-02,sh.600438,12.8900,13.1600,11.9000,12.2100,7.5000,31467965,389794283.0000,3,52.446608,1,62.800000,39.360348,1.527636,218.891703,8.109893,0
2004-03-03,sh.600438,12.0000,12.2300,11.7800,11.9100,12.2100,9257258,110674987.0000,3,15.428763,1,-2.460000,38.393263,1.490102,213.513528,7.910633,0
2004-03-04,sh.600438,11.8600,12.1100,11.7000,11.9400,11.9100,5933821,70889107.0000,3,9.889702,1,0.250000,38.489972,1.493855,214.051346,7.930559,0
2004-03-05,sh.600438,11.9000,12.1700,11.7000,11.7500,11.9400,5210158,61940288.0000,3,8.683597,1,-1.590000,37.877485,1.470084,210.645169,7.804360,0
2004-03-08,sh.600438,11.7300,11.7500,11.3500,11.5300,11.7500,5285623,60714251.0000,3,8.809372,1,-1.870000,37.168289,1.442559,206.701174,7.658236,0
2004-03-09,sh.600438,11.5000,11.7100,11.4300,11.6800,11.5300,3569055,41230725.0000,3,5.948425,1,1.300000,37.651832,1.461326,209.390261,7.757866,0
2004-03-10,sh.600438,11.7000,11.8300,11.5200,11.7100,11.6800,3749538,43812772.0000,3,6.249230,1,0.260000,37.748540,1.465079,209.928079,7.777792,0
2004-03-11,sh.600438,11.6900,11.8700,11.5800,11.7100,11.7100,3471516,40699075.0000,3,5.785860,1,0.000000,37.748540,1.465079,209.928079,7.777792,0
2004-03-12,sh.600438,11.7100,11.7700,11.5200,11.6300,11.7100,2437847,28310449.0000,3,4.063078,1,-0.680000,37.490651,1.455070,208.493899,7.724656,0
2004-03-15,sh.600438,11.6000,11.7000,11.4800,11.6800,11.6300,2764125,32053867.0000,3,4.606875,1,0.430000,37.651832,1.461326,209.390261,7.757866,0
2004-03-16,sh.600438,11.7000,11.9500,11.6000,11.8300,11.6800,3464953,40752014.0000,3,5.774922,1,1.280000,38.135374,1.480093,212.079348,7.857496,0
2004-03-17,sh.600438,12.0000,12.0800,11.8000,11.9000,11.8300,3403564,40510952.0000,3,5.672607,1,0.590000,38.361027,1.488851,213.334256,7.903991,0
2004-03-18,sh.600438,12.0000,12.0000,11.4700,11.5700,11.9000,3244439,37683875.0000,3,5.407398,1,-2.770000,45.986535,1.170782,26.194267,7.394109,0
2004-03-19,sh.600438,11.5200,11.6600,11.3600,11.6400,11.5700,2198255,25305921.0000,3,3.663758,1,0.610000,46.264760,1.177866,26.352746,7.438845,0
2004-03-22,sh.600438,11.5900,11.8000,11.5200,11.5900,11.6400,1933837,22489754.0000,3,3.223062,1,-0.430000,46.066028,1.172806,26.239547,7.406891,0
2004-03-23,sh.600438,11.5100,11.5800,11.3900,11.4600,11.5900,1894735,21728284.0000,3,3.157892,1,-1.120000,45.549325,1.159651,25.945229,7.323811,0
2004-03-24,sh.600438,11.4600,11.5300,11.3600,11.4500,11.4600,1529617,17492422.0000,3,2.549362,1,-0.090000,45.509579,1.158639,25.922589,7.317420,0
2004-03-25,sh.600438,11.4500,11.5600,11.3600,11.5400,11.4500,1372359,15707578.0000,3,2.287265,1,0.790000,45.867296,1.167746,26.126348,7.374937,0
2004-03-26,sh.600438,11.5000,11.6000,11.4200,11.4300,11.5400,930654,10695224.0000,3,1.551090,1,-0.950000,45.430086,1.156615,25.877310,7.304639,0
2004-03-29,sh.600438,11.4000,11.4500,11.2000,11.2200,11.4300,1475953,16774388.0000,3,2.459922,1,-1.840000,44.595413,1.135365,25.401873,7.170433,0
2004-03-30,sh.600438,11.2000,11.3600,11.1600,11.3300,11.2200,1314743,14806508.0000,3,2.191238,1,0.980000,45.032623,1.146496,25.650911,7.240731,0
2004-03-31,sh.600438,11.3300,11.4800,11.2300,11.2800,11.3300,1695467,19226532.0000,3,2.825778,1,-0.440000,44.833891,1.141437,25.537712,7.208777,0
2004-04-01,sh.600438,11.2800,11.5800,11.2000,11.5100,11.2800,2477081,28342006.0000,3,4.128468,1,2.040000,45.748057,1.164711,26.058428,7.355765,0
2004-04-02,sh.600438,11.5100,11.5500,11.4300,11.4700,11.5100,1121376,12881641.0000,3,1.868960,1,-0.350000,45.589072,1.160663,25.967869,7.330202,0
2004-04-05,sh.600438,11.4800,11.5200,11.3800,11.5200,11.4700,1643751,18851321.0000,3,2.739585,1,0.440000,45.787803,1.165723,26.081068,7.362155,0
2004-04-06,sh.600438,11.5200,11.6800,11.5200,11.6100,11.5200,1507278,17460316.0000,3,2.512130,1,0.780000,46.145521,1.174830,26.284826,7.419672,0
2004-04-07,sh.600438,11.6300,11.6800,11.4100,11.4400,11.6100,1448040,16730732.0000,3,2.413400,1,-1.460000,45.469832,1.157627,25.899949,7.311029,0
2004-04-08,sh.600438,11.4500,11.4900,11.2800,11.3000,11.4400,1433716,16278536.0000,3,2.389527,1,-1.220000,44.913383,1.143461,25.582992,7.221559,0
2004-04-09,sh.600438,11.3600,11.3800,11.1800,11.2000,11.3000,1543353,17389949.0000,3,2.572255,1,-0.880000,44.515920,1.133341,25.356594,7.157651,0
2004-04-12,sh.600438,11.1800,11.1800,10.9600,11.0000,11.2000,1592462,17581885.0000,3,2.654103,1,-1.790000,43.720993,1.113103,24.903797,7.029836,0
2004-04-13,sh.600438,11.0300,11.1800,10.9500,10.9800,11.0000,1050487,11598559.0000,3,1.750812,1,-0.180000,43.641500,1.111079,24.858518,7.017054,0
2004-04-14,sh.600438,11.0000,11.0600,10.4900,10.6200,10.9800,1780240,19023566.0000,3,2.967067,1,-3.280000,42.210631,1.074651,24.043484,6.786987,0
2004-04-15,sh.600438,10.6000,10.6800,10.0500,10.1300,10.6200,1942041,20141513.0000,3,3.236735,1,-4.610000,40.263060,1.025067,22.934133,6.473840,0
2004-04-16,sh.600438,10.1300,10.2700,9.8800,10.2600,10.1300,2165851,21730647.0000,3,3.609752,1,1.280000,40.779762,1.038222,23.228451,6.556920,0
2004-04-19,sh.600438,10.3100,10.3200,9.8200,9.8400,10.2600,956427,9578169.0000,3,1.594045,1,-4.090000,39.110415,0.995721,22.277579,6.288508,0
2004-04-20,sh.600438,9.8500,10.1100,9.8500,10.0600,9.8400,1133635,11311403.0000,3,1.889392,1,2.240000,39.984835,1.017984,22.775655,6.429104,0
2004-04-21,sh.600438,10.0600,10.1600,9.9500,10.0400,10.0600,605855,6083147.0000,3,1.009758,1,-0.200000,39.905343,1.015960,22.730375,6.416323,0
2004-04-23,sh.600438,9.8000,9.9500,9.4000,9.5100,10.0400,1088290,10479068.0000,3,1.813817,1,-5.280000,37.798786,0.962328,21.530465,6.077613,0
