date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-04-11,sh.601012,19.5100,20.2500,19.3500,19.7500,21.0000,14197304,281480526.0000,3,23.662173,1,-5.952381,20.797574,2.928066,-14.776659,4.023797,0
2012-04-12,sh.601012,19.3000,19.6000,19.1500,19.4700,19.7500,8371518,162046467.0000,3,13.952530,1,-1.417700,20.502722,2.886554,-14.567167,3.966751,0
2012-04-13,sh.601012,19.3500,19.8500,19.3200,19.7400,19.4700,6789621,132960266.0000,3,11.316035,1,1.386700,20.787043,2.926583,-14.769177,4.021760,0
2012-04-16,sh.601012,19.7000,19.8500,19.3800,19.4500,19.7400,4084869,80011656.0000,3,6.808115,1,-1.469100,20.481661,2.883589,-14.552204,3.962676,0
2012-04-17,sh.601012,19.4000,19.5400,18.8800,18.8800,19.4500,4486055,85410868.0000,3,7.476758,1,-2.930600,19.881428,2.799083,-14.125738,3.846546,0
2012-04-18,sh.601012,18.8800,19.1600,18.8000,19.1200,18.8800,3279373,62331897.0000,3,5.465622,1,1.271200,20.134158,2.834664,-14.305303,3.895443,0
2012-04-19,sh.601012,19.0400,19.1900,18.8900,18.9700,19.1200,2420393,46124277.0000,3,4.033988,1,-0.784500,19.976201,2.812426,-14.193075,3.864883,0
2012-04-20,sh.601012,19.0300,19.1200,18.9100,19.0400,18.9700,2177565,41416322.0000,3,3.629275,1,0.369000,20.049914,2.822804,-14.245448,3.879144,0
2012-04-23,sh.601012,18.9500,19.0400,18.3200,18.3700,19.0400,3587513,66878505.0000,3,5.979188,1,-3.518900,19.344376,2.723472,-13.744164,3.742641,0
2012-04-24,sh.601012,18.1900,18.4500,17.7500,18.1400,18.3700,2768661,49957200.0000,3,4.614435,1,-1.252000,19.102177,2.689373,-13.572081,3.695781,0
2012-04-25,sh.601012,18.0300,18.1600,17.8700,18.0900,18.1400,1728854,31150446.0000,3,2.881423,1,-0.275600,19.049525,2.681960,-13.534672,3.685594,0
2012-04-26,sh.601012,18.1000,18.3200,18.0600,18.1200,18.0900,1593611,29013252.0000,3,2.656018,1,0.165800,19.081116,2.686408,-13.557117,3.691707,0
2012-04-27,sh.601012,18.0300,18.2700,17.9500,18.1400,18.1200,1081516,19613355.0000,3,1.802527,1,0.110400,19.102177,2.689373,-13.572081,3.695781,0
2012-05-02,sh.601012,18.0000,18.1800,17.7800,18.1500,18.1400,3393041,61061255.0000,3,5.655068,1,0.055100,33.079692,2.670490,3.801891,1.813652,0
2012-05-03,sh.601012,18.0300,18.1400,17.9000,17.9900,18.1500,1456146,26189635.0000,3,2.426910,1,-0.881500,32.788081,2.646948,3.768376,1.797663,0
2012-05-04,sh.601012,17.9200,18.1200,17.9200,18.0300,17.9900,1507673,27158432.0000,3,2.512788,1,0.222300,32.860984,2.652833,3.776755,1.801660,0
2012-05-07,sh.601012,18.0700,18.2100,17.9500,18.2000,18.0300,1659643,30050680.0000,3,2.766072,1,0.942900,33.170821,2.677846,3.812365,1.818648,0
2012-05-08,sh.601012,18.2400,18.3700,18.1600,18.3300,18.2000,1688799,30867065.0000,3,2.814665,1,0.714300,33.407755,2.696974,3.839596,1.831638,0
2012-05-09,sh.601012,18.2500,18.2600,17.9900,18.0000,18.3300,1589116,28741112.0000,3,2.648527,1,-1.800300,32.806307,2.648419,3.770470,1.798663,0
2012-05-10,sh.601012,18.0000,18.0700,17.9100,18.0100,18.0000,937657,16882745.0000,3,1.562762,1,0.055600,32.824532,2.649891,3.772565,1.799662,0
2012-05-11,sh.601012,18.0000,18.0900,17.9300,17.9800,18.0100,627898,11311050.0000,3,1.046497,1,-0.166600,32.769855,2.645477,3.766281,1.796664,0
2012-05-14,sh.601012,18.0500,18.0700,17.8800,17.8900,17.9800,912423,16382687.0000,3,1.520705,1,-0.500600,32.605824,2.632235,3.747429,1.787671,0
2012-05-15,sh.601012,17.8300,17.8300,17.4700,17.5500,17.8900,1873061,33007673.0000,3,3.121768,1,-1.900500,31.986149,2.582209,3.676209,1.753696,0
2012-05-16,sh.601012,17.5300,17.5600,17.2200,17.2300,17.5500,1278869,22217658.0000,3,2.131448,1,-1.823400,31.402926,2.535126,3.609178,1.721720,0
2012-05-17,sh.601012,17.2400,17.4300,17.2000,17.3500,17.2300,1004523,17388304.0000,3,1.674205,1,0.696500,31.621634,2.552782,3.634315,1.733711,0
2012-05-18,sh.601012,17.2700,17.3200,17.1600,17.2100,17.3500,1002141,17260291.0000,3,1.670235,1,-0.806900,31.366474,2.532183,3.604989,1.719721,0
2012-05-21,sh.601012,17.2000,17.2700,16.8900,16.9600,17.2100,1187500,20220371.0000,3,1.979167,1,-1.452600,30.910831,2.495400,3.552621,1.694740,0
2012-05-22,sh.601012,17.0100,17.1300,17.0000,17.1100,16.9600,651296,11121700.0000,3,1.085493,1,0.884400,31.184217,2.517470,3.584042,1.709729,0
2012-05-23,sh.601012,17.1200,17.3000,17.1000,17.2300,17.1100,904767,15567375.0000,3,1.507945,1,0.701300,31.402926,2.535126,3.609178,1.721720,0
2012-05-24,sh.601012,17.2800,17.6900,17.1600,17.3200,17.2300,1661646,29021423.0000,3,2.769410,1,0.522300,31.566957,2.548368,3.628030,1.730713,0
2012-05-25,sh.601012,17.3200,17.3900,17.0000,17.0000,17.3200,998000,17092432.0000,3,1.663333,1,-1.847600,30.983734,2.501285,3.561000,1.698737,0
