date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2014-01-21,sz.300359,36.3700,44.3100,36.3700,44.3100,30.3100,1634371,70286401.0000,3,10.026816,1,46.189380,68.376851,16.668786,102.786007,13.369559,0
2014-01-22,sz.300359,43.2000,48.7400,40.9900,48.7400,44.3100,10057092,458484272.0000,3,61.699951,1,9.997700,75.212993,18.335289,113.062288,14.706213,0
2014-01-23,sz.300359,46.7000,49.9700,46.6000,48.7500,48.7400,7003688,337935376.0000,3,42.967411,1,0.020500,75.228425,18.339051,113.085485,14.709230,0
2014-01-24,sz.300359,50.1000,53.6300,50.1000,53.6300,48.7500,3280975,171344836.0000,3,20.128681,1,10.010300,82.758983,20.174837,124.405632,16.181662,0
2014-01-27,sz.300359,54.4000,56.7600,51.0000,54.4400,53.6300,6270605,341627856.0000,3,38.469969,1,1.510300,84.008932,20.479547,126.284591,16.426061,0
2014-01-28,sz.300359,56.0000,58.6600,53.5000,57.5000,54.4400,5060855,285834960.0000,3,31.048190,1,5.620900,88.730962,21.630675,133.382880,17.349348,0
2014-01-29,sz.300359,55.0000,55.9500,52.0100,53.7500,57.5000,4834117,261270494.0000,3,29.657160,1,-6.521700,82.944160,20.219979,124.683997,16.217869,0
2014-01-30,sz.300359,54.0800,58.0000,52.2500,55.2100,53.7500,3623112,199481698.0000,3,22.227681,1,2.716300,85.197155,20.769210,128.070762,16.658391,0
2014-02-07,sz.300359,53.0000,55.1700,52.1100,54.6900,55.2100,2985908,160747232.0000,3,18.318454,1,-0.941900,84.394719,20.573593,126.864517,16.501493,0
2014-02-10,sz.300359,55.0000,60.1600,54.0000,60.1600,54.6900,4797302,278878080.0000,3,29.431301,1,10.001800,92.835734,22.631329,139.553288,18.151944,0
2014-02-11,sz.300359,59.5800,61.2000,56.1800,58.6900,60.1600,4017451,235976427.0000,3,24.646939,1,-2.443500,90.567307,22.078336,136.143326,17.708404,0
2014-02-12,sz.300359,57.6900,63.3400,56.8800,59.0300,58.6900,4716459,280185712.0000,3,28.935331,1,0.579300,91.091978,22.206239,136.932024,17.810992,0
2014-02-13,sz.300359,57.5000,58.3900,54.3000,54.8000,59.0300,3428889,193326167.0000,3,21.036129,1,-7.165800,84.564465,20.614974,127.119684,16.534683,0
2014-02-14,sz.300359,54.8000,60.0800,54.6200,58.6500,54.8000,3710028,211242769.0000,3,22.760908,1,7.025500,90.505582,22.063289,136.050538,17.696335,0
2014-02-17,sz.300359,58.3000,60.5800,56.7000,59.6000,58.6500,3881417,228240998.0000,3,23.812374,1,1.619800,91.971571,22.420665,138.254255,17.982976,0
2014-02-18,sz.300359,59.6700,62.9100,58.3800,59.0700,59.6000,4058391,247371458.0000,3,24.898104,1,-0.889300,91.153703,22.221287,137.024813,17.823061,0
2014-02-19,sz.300359,57.8000,57.8000,53.7900,55.8100,59.0700,3261559,182577908.0000,3,20.009564,1,-5.518900,86.123044,20.994921,129.462583,16.839428,0
