date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-06-01,sz.301005,68.0000,68.5000,58.6100,58.8200,36.4500,7330997,465356264.1500,3,51.331300,1,61.371700,37.750352,8.858529,-221.760557,11.639895,0
2021-06-02,sz.301005,58.9000,73.5800,58.1200,72.3800,58.8200,8341445,559554550.2900,3,58.406400,1,23.053400,46.453085,10.900719,-272.883868,14.323284,0
2021-06-03,sz.301005,67.0000,68.0500,62.5600,62.9400,72.3800,6237936,402437171.8900,3,43.677700,1,-13.042300,40.394545,9.479017,-237.293598,12.455202,0
2021-06-04,sz.301005,59.3500,60.6800,54.9900,55.1500,62.9400,5445088,310063279.3600,3,38.126300,1,-12.376900,35.394966,8.305812,-207.924086,10.913638,0
2021-06-07,sz.301005,55.0200,55.5200,51.1600,51.3200,55.1500,3527089,183925492.6300,3,24.696500,1,-6.944700,32.936893,7.728998,-193.484389,10.155719,0
2021-06-08,sz.301005,50.8000,52.2400,50.3100,50.6600,51.3200,2460907,126272403.1800,3,17.231200,1,-1.286000,32.513309,7.629600,-190.996087,10.025111,0
2021-06-09,sz.301005,50.0500,51.5000,49.1000,51.0400,50.6600,2489886,124996091.9000,3,17.434100,1,0.750100,32.757191,7.686829,-192.428746,10.100310,0
2021-06-10,sz.301005,50.4000,50.7800,49.6600,49.6600,51.0400,1873437,93724002.0100,3,13.117700,1,-2.703800,31.871514,7.478996,-187.225931,9.827221,0
2021-06-11,sz.301005,49.8800,54.3900,49.6700,52.2100,49.6600,3500785,182248597.0400,3,24.512300,1,5.134900,33.508090,7.863036,-196.839828,10.331841,0
2021-06-15,sz.301005,51.3000,51.3000,49.5800,49.5900,52.2100,2178689,109190007.7300,3,15.255100,1,-5.018200,31.826589,7.468454,-186.962020,9.813369,0
2021-06-16,sz.301005,49.3300,49.4500,47.0000,47.0200,49.5900,2181599,103595532.9100,3,15.275500,1,-5.182500,30.177177,7.081401,-177.272720,9.304792,0
2021-06-17,sz.301005,47.2700,51.3000,47.0400,49.3400,47.0200,2629534,130019493.2700,3,18.411900,1,4.934100,31.666140,7.430803,-186.019481,9.763897,0
2021-06-18,sz.301005,49.0000,50.6400,47.7800,50.0000,49.3400,1768418,87299879.4800,3,12.382400,1,1.337700,32.089724,7.530201,-188.507784,9.894504,0
2021-06-21,sz.301005,49.1500,49.9900,48.7100,49.2900,50.0000,1218011,59863919.8300,3,8.528500,1,-1.420000,31.634050,7.423272,-185.830973,9.754002,0
2021-06-22,sz.301005,49.3000,51.4800,49.3000,50.3900,49.2900,1861382,94046172.0600,3,13.033300,1,2.231700,32.340024,7.588937,-189.978145,9.971681,0
2021-06-23,sz.301005,50.4000,51.8900,49.4500,49.6300,50.3900,1402155,70101535.6300,3,9.817800,1,-1.508200,31.852260,7.474478,-187.112826,9.821285,0
2021-06-24,sz.301005,49.8800,49.8800,47.9200,48.1000,49.6300,1303368,63096038.5600,3,9.126100,1,-3.082800,30.870315,7.244054,-181.344488,9.518513,0
2021-06-25,sz.301005,48.0000,49.1500,48.0000,48.4900,48.1000,875277,42564007.0500,3,6.128600,1,0.810800,31.120615,7.302789,-182.814849,9.595690,0
2021-06-28,sz.301005,48.6000,49.4900,48.0200,49.1900,48.4900,871932,42574456.9200,3,6.105200,1,1.443600,31.569871,7.408212,-185.453958,9.734213,0
2021-06-29,sz.301005,48.8800,52.4400,48.5000,51.4900,49.1900,2905605,148264035.4600,3,20.344900,1,4.675700,33.045998,7.754601,-194.125316,10.189360,0
2021-06-30,sz.301005,51.2000,51.5800,50.1800,50.3600,51.4900,1494024,75596253.7600,3,10.461100,1,-2.194600,32.320770,7.584419,-189.865040,9.965744,0
2021-07-01,sz.301005,50.3100,51.7700,49.5600,49.5600,50.3600,1317254,66965424.5400,3,9.223400,1,-1.588600,31.807335,7.463935,-186.848915,9.807432,0
2021-07-02,sz.301005,48.8700,50.8800,47.0000,50.4000,49.5600,2048122,101557116.5000,3,14.340900,1,1.694900,32.346442,7.590443,-190.015846,9.973660,0
2021-07-05,sz.301005,50.1000,51.8500,49.3000,51.8100,50.4000,1628433,82287419.5400,3,11.402200,1,2.797600,33.251372,7.802794,-195.331766,10.252685,0
2021-07-06,sz.301005,51.6600,55.8700,50.5000,55.3000,51.8100,3476379,186311998.6000,3,24.341400,1,6.736200,35.491235,8.328402,-208.489609,10.943321,0
2021-07-07,sz.301005,54.0700,55.8300,54.0600,54.9100,55.3000,2004564,110000602.1800,3,14.035900,1,-0.705200,35.240935,8.269667,-207.019248,10.866144,0
2021-07-08,sz.301005,54.7700,55.5500,54.3800,55.1400,54.9100,1631788,89578750.8200,3,11.425700,1,0.418900,35.388548,8.304306,-207.886384,10.911659,0
2021-07-09,sz.301005,55.0000,56.7300,53.5500,55.4100,55.1400,2068300,114236134.3800,3,14.482100,1,0.489700,35.561833,8.344969,-208.904326,10.965089,0
2021-07-12,sz.301005,56.7000,56.9900,55.4300,55.7400,55.4100,1843097,103700639.7400,3,12.905300,1,0.595600,35.773625,8.394668,-210.148477,11.030393,0
2021-07-13,sz.301005,55.3000,55.4800,53.3800,53.4500,55.7400,1326441,71561193.6700,3,9.287700,1,-4.108400,34.303915,8.049785,-201.514821,10.577225,0
2021-07-14,sz.301005,53.3400,54.5500,52.5000,54.1000,53.4500,1038700,55590459.5300,3,7.272900,1,1.216100,34.721082,8.147678,-203.965422,10.705853,0
2021-07-15,sz.301005,53.0000,54.3900,52.0800,54.1100,54.1000,955760,51115468.3800,3,6.692200,1,0.018500,34.727500,8.149184,-204.003124,10.707832,0
2021-07-16,sz.301005,54.9000,55.8800,53.1800,55.6000,54.1100,1494300,81938183.0000,3,10.463000,1,2.753600,35.683774,8.373584,-209.620656,11.002688,0
2021-07-19,sz.301005,54.0800,55.8900,53.8000,54.3400,55.6000,1007049,55351989.1000,3,7.051300,1,-2.266200,34.875113,8.183823,-204.870260,10.753347,0
2021-07-20,sz.301005,54.2200,55.8300,53.8400,53.9100,54.3400,1061128,57895031.2300,3,7.430000,1,-0.791300,34.599141,8.119063,-203.249093,10.668254,0
