date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2004-02-26,sh.600733,7.6000,7.8000,7.4000,7.4500,7.7300,1957425,14773583.0000,3,2.590690,1,-3.620000,-4115.812989,5.326583,-9.981971,5.413504,0
2004-02-27,sh.600733,7.4600,7.7000,7.4600,7.6800,7.4500,1103809,8375912.0000,3,1.460913,1,3.090000,-4242.878356,5.491028,-10.290139,5.580632,0
2004-03-01,sh.600733,7.6500,7.9000,7.4600,7.8400,7.6800,1242022,9608795.0000,3,1.643840,1,2.080000,-4331.271655,5.605424,-10.504517,5.696895,0
2004-03-02,sh.600733,7.8400,7.9000,7.6500,7.7000,7.8400,818299,6345618.0000,3,1.083035,1,-1.790000,-4253.927519,5.505327,-10.316936,5.595165,0
2004-03-03,sh.600733,7.7500,7.8500,7.5500,7.5800,7.7000,894055,6847865.0000,3,1.183299,1,-1.560000,-4187.632544,5.419530,-10.156153,5.507967,0
2004-03-04,sh.600733,7.6200,7.6500,7.4500,7.6300,7.5800,769850,5806716.0000,3,1.018911,1,0.660000,-4215.255450,5.455279,-10.223146,5.544300,0
2004-03-05,sh.600733,7.6300,7.6500,7.4500,7.5000,7.6300,638205,4811895.0000,3,0.844677,1,-1.700000,-4143.435895,5.362332,-10.048964,5.449836,0
2004-03-08,sh.600733,7.3500,7.5000,7.0000,7.0400,7.5000,1197115,8654577.0000,3,1.584405,1,-6.130000,-3889.305160,5.033442,-9.432627,5.115579,0
2004-03-09,sh.600733,7.0300,7.1500,6.8900,6.9000,7.0400,732500,5166364.0000,3,0.969478,1,-1.990000,-3811.961023,4.933345,-9.245047,5.013849,0
2004-03-10,sh.600733,6.9000,7.1500,6.8800,7.1400,6.9000,704466,4927696.0000,3,0.932374,1,3.480000,-3944.550972,5.104940,-9.566614,5.188244,0
2004-03-11,sh.600733,7.1400,7.3700,7.0800,7.2500,7.1400,575640,4155270.0000,3,0.761871,1,1.540000,-4005.321365,5.183587,-9.713998,5.268175,0
2004-03-12,sh.600733,7.2500,7.2800,7.1400,7.2000,7.2500,518104,3724254.0000,3,0.685721,1,-0.690000,-3977.698459,5.147838,-9.647005,5.231842,0
2004-03-15,sh.600733,7.2500,7.5000,7.0800,7.4100,7.2000,705592,5191236.0000,3,0.933865,1,2.920000,-4093.714664,5.297984,-9.928376,5.384438,0
2004-03-16,sh.600733,7.3300,7.5000,7.3300,7.3800,7.4100,440094,3256962.0000,3,0.582473,1,-0.400000,-4077.140921,5.276534,-9.888181,5.362638,0
2004-03-17,sh.600733,7.4000,7.5200,7.3300,7.4900,7.3800,642817,4777044.0000,3,0.850781,1,1.490000,-4137.911314,5.355182,-10.035565,5.442569,0
2004-03-18,sh.600733,7.4900,7.5900,7.2200,7.2800,7.4900,439355,3255682.0000,3,0.581495,1,-2.800000,-4021.895109,5.205037,-9.754194,5.289974,0
2004-03-19,sh.600733,7.2800,7.4500,7.2800,7.4200,7.2800,472094,3472583.0000,3,0.624826,1,1.920000,-4099.239245,5.305133,-9.941775,5.391704,0
2004-03-22,sh.600733,7.4000,7.5600,7.3100,7.4500,7.4200,430104,3206345.0000,3,0.569251,1,0.400000,-4115.812989,5.326583,-9.981971,5.413504,0
2004-03-23,sh.600733,7.4500,7.5600,7.3400,7.5200,7.4500,644010,4807620.0000,3,0.852360,1,0.940000,-4154.485057,5.376631,-10.075761,5.464369,0
2004-03-24,sh.600733,7.4300,7.6500,7.4200,7.4800,7.5200,476449,3601436.0000,3,0.630590,1,-0.530000,-4132.386733,5.348032,-10.022167,5.435303,0
2004-03-25,sh.600733,7.4000,7.5300,7.3800,7.4900,7.4800,399880,2980557.0000,3,0.529249,1,0.130000,-4137.911314,5.355182,-10.035565,5.442569,0
2004-03-26,sh.600733,7.4800,7.8700,7.4100,7.7900,7.4900,1861001,14398121.0000,3,2.463071,1,4.010000,-4303.648750,5.569675,-10.437524,5.660563,0
2004-03-29,sh.600733,7.7500,8.3600,7.7500,7.9200,7.7900,3272551,26377709.0000,3,4.331285,1,1.670000,-4375.468305,5.662622,-10.611706,5.755027,0
2004-03-30,sh.600733,8.1000,8.1800,7.8500,8.1200,7.9200,1787075,14384700.0000,3,2.365228,1,2.530000,-4485.959929,5.805618,-10.879678,5.900356,0
2004-03-31,sh.600733,8.2800,8.9300,8.2400,8.9300,8.1200,7516918,65690676.0000,3,9.948787,1,9.980000,-4933.451006,6.384750,-11.964966,6.488938,0
2004-04-01,sh.600733,9.2900,9.7900,9.0700,9.2000,8.9300,11638847,109569132.0000,3,15.404240,1,3.020000,-5082.614698,6.577794,-12.326729,6.685132,0
2004-04-02,sh.600733,9.3000,9.6000,9.1500,9.4100,9.2000,6668301,62486380.0000,3,8.825626,1,2.280000,-5198.630903,6.727939,-12.608100,6.837727,0
2004-04-05,sh.600733,9.4000,9.4200,9.1900,9.3700,9.4100,3500215,32489643.0000,3,4.632603,1,-0.430000,-5176.532578,6.699340,-12.554506,6.808662,0
2004-04-06,sh.600733,9.3500,9.3500,8.9500,9.0900,9.3700,3934485,35787303.0000,3,5.207367,1,-2.990000,-5021.844305,6.499146,-12.179344,6.605201,0
2004-04-07,sh.600733,9.0900,9.3900,8.9300,9.2700,9.0900,2997912,27326041.0000,3,3.967795,1,1.980000,-5121.286766,6.627842,-12.420519,6.735997,0
2004-04-08,sh.600733,9.2000,9.2000,8.9900,9.0500,9.2700,1868391,16943699.0000,3,2.472852,1,-2.370000,-4999.745980,6.470547,-12.125750,6.576135,0
2004-04-09,sh.600733,8.9200,9.3400,8.7400,8.8000,9.0500,2061243,18660183.0000,3,2.728095,1,-2.760000,465.655616,6.553686,-19.174425,6.492170,0
2004-04-12,sh.600733,8.7800,8.9000,8.4600,8.7600,8.8000,2153033,18551472.0000,3,2.849581,1,-0.450000,463.539000,6.523896,-19.087269,6.462661,0
2004-04-13,sh.600733,8.7200,8.9500,8.6100,8.6500,8.7600,1639923,14421059.0000,3,2.170470,1,-1.260000,457.718305,6.441975,-18.847589,6.381508,0
2004-04-14,sh.600733,8.6200,8.7000,8.4100,8.5200,8.6500,1162501,9908931.0000,3,1.538593,1,-1.500000,450.839301,6.345160,-18.564330,6.285601,0
2004-04-15,sh.600733,8.5200,8.9400,8.5200,8.6300,8.5200,1377254,12069699.0000,3,1.822822,1,1.290000,456.659996,6.427081,-18.804010,6.366754,0
2004-04-16,sh.600733,8.5500,8.8200,8.3100,8.7700,8.6300,1267509,10918868.0000,3,1.677573,1,1.620000,464.068154,6.531344,-19.109058,6.470038,0
2004-04-19,sh.600733,8.7500,8.8100,8.5200,8.5500,8.7700,530750,4612596.0000,3,0.702458,1,-2.510000,452.426764,6.367502,-18.629697,6.307734,0
2004-04-20,sh.600733,8.5000,8.9500,8.4200,8.9300,8.5500,1321096,11571878.0000,3,1.748496,1,4.440000,472.534620,6.650502,-19.457684,6.588077,0
2004-04-21,sh.600733,8.9300,9.7000,8.8800,9.3400,8.9300,4794241,44509434.0000,3,6.345271,1,4.590000,494.229938,6.955844,-20.351038,6.890554,0
2004-04-22,sh.600733,9.3400,9.4500,9.0200,9.4300,9.3400,2440595,22509782.0000,3,3.230175,1,0.960000,498.992325,7.022870,-20.547140,6.956951,0
2004-04-23,sh.600733,9.3100,9.3900,9.0100,9.0300,9.4300,1511540,13857197.0000,3,2.000553,1,-4.240000,477.826161,6.724975,-19.675575,6.661852,0
2004-04-26,sh.600733,8.9000,9.0700,8.1300,8.1300,9.0300,2292401,19385300.0000,3,3.034037,1,-9.970000,430.202291,6.054712,-17.714554,5.997880,0
2004-04-27,sh.600733,7.3200,7.9000,7.3200,7.3500,8.1300,2322723,17582609.0000,3,3.074169,1,-9.590000,388.928270,5.473817,-16.015003,5.422438,0
2004-04-28,sh.600733,7.1000,7.8800,7.0200,7.6700,7.3500,1265640,9705112.0000,3,1.675099,1,4.350000,439.590201,5.143273,271.309189,5.719696,0
2004-04-29,sh.600733,7.6300,7.8200,7.5500,7.6500,7.6700,659672,5056432.0000,3,0.873089,1,-0.260000,438.443942,5.129862,270.601733,5.704781,0
2004-04-30,sh.600733,7.6900,7.7500,7.3100,7.5400,7.6500,616245,4626313.0000,3,0.815612,1,-1.440000,432.139520,5.056099,266.710728,5.622752,0
2004-05-10,sh.600733,7.5500,7.6000,6.9800,7.0600,7.5400,677960,4882176.0000,3,0.897293,1,-6.370000,404.629311,4.734225,249.731795,5.264805,0
2004-05-11,sh.600733,7.0400,7.3800,6.9800,7.3300,7.0600,590068,4249693.0000,3,0.780966,1,3.820000,420.103804,4.915279,259.282445,5.466150,0
2004-05-12,sh.600733,7.3100,7.7000,7.2300,7.6800,7.3300,638491,4791344.0000,3,0.845055,1,4.770000,440.163330,5.149979,271.662916,5.727153,0
2004-05-13,sh.600733,7.8300,7.8300,7.5400,7.7000,7.6800,542872,4168881.0000,3,0.718502,1,0.260000,441.309589,5.163390,272.370372,5.742067,0
2004-05-14,sh.600733,7.7500,7.7500,7.2800,7.3700,7.7000,564350,4209430.0000,3,0.746928,1,-4.290000,422.396321,4.942102,260.697356,5.495979,0
2004-05-17,sh.600733,7.3000,7.5700,7.2300,7.5000,7.3700,356410,2656442.0000,3,0.471716,1,1.760000,429.847002,5.029276,265.295817,5.592923,0
2004-05-18,sh.600733,7.5200,7.8300,7.5200,7.8300,7.5000,674455,5210825.0000,3,0.892654,1,4.400000,448.760270,5.250564,276.968833,5.839011,0
2004-05-19,sh.600733,7.8000,7.8300,7.6700,7.7100,7.8300,550591,4270016.0000,3,0.728718,1,-1.530000,441.882718,5.170096,272.724100,5.749525,0
2004-05-20,sh.600733,7.6800,7.7500,7.4000,7.4900,7.7100,300725,2271846.0000,3,0.398015,1,-2.850000,429.273873,5.022571,264.942089,5.585466,0
2004-05-21,sh.600733,7.5000,7.6900,7.3700,7.6900,7.4900,351320,2641284.0000,3,0.464979,1,2.670000,440.736460,5.156685,272.016644,5.734610,0
2004-05-24,sh.600733,7.7000,7.9000,7.5000,7.5300,7.6900,248100,1889036.0000,3,0.328365,1,-2.080000,431.566390,5.049393,266.357000,5.615295,0
2004-05-25,sh.600733,7.5300,7.5300,7.2800,7.2800,7.5300,384600,2845296.0000,3,0.509026,1,-3.320000,417.238157,4.881751,257.513806,5.428864,0
2004-05-26,sh.600733,7.2500,7.5000,7.2200,7.3800,7.2800,325745,2404146.0000,3,0.431130,1,1.370000,422.969450,4.948808,261.051084,5.503436,0
2004-05-27,sh.600733,7.4200,7.7000,7.3800,7.6200,7.3800,569244,4304972.0000,3,0.753405,1,3.250000,436.724554,5.109745,269.540550,5.682410,0
2004-05-28,sh.600733,7.6200,7.6900,7.5400,7.5500,7.6200,286250,2174311.0000,3,0.378857,1,-0.920000,432.712649,5.062805,267.064456,5.630209,0
2004-05-31,sh.600733,7.4000,7.6000,7.3500,7.5000,7.5500,292320,2172162.0000,3,0.386891,1,-0.660000,429.847002,5.029276,265.295817,5.592923,0
2004-06-01,sh.600733,7.4700,7.7500,7.4100,7.7400,7.5000,643442,4905429.0000,3,0.851608,1,3.200000,443.602106,5.190213,273.785283,5.771896,0
2004-06-02,sh.600733,7.8500,8.3600,7.8200,8.1700,7.7400,2363530,19227105.0000,3,3.128178,1,5.560000,468.246668,5.478558,288.995576,6.092557,0
2004-06-03,sh.600733,8.1300,8.2500,7.9200,8.1500,8.1700,1064962,8591204.0000,3,1.409498,1,-0.240000,467.100409,5.465147,288.288121,6.077643,0
2004-06-04,sh.600733,8.0500,8.3400,7.9500,8.1900,8.1500,1123787,9208565.0000,3,1.487354,1,0.490000,469.392927,5.491970,289.703032,6.107472,0
2004-06-07,sh.600733,8.2000,8.2100,7.9100,8.0000,8.1900,564646,4518040.0000,3,0.747320,1,-2.320000,458.503469,5.364561,282.982205,5.965784,0
2004-06-08,sh.600733,7.9200,8.0800,7.6500,7.6900,8.0000,729906,5704663.0000,3,0.966045,1,-3.870000,440.736460,5.156685,272.016644,5.734610,0
2004-06-09,sh.600733,7.6000,7.6800,7.1600,7.1700,7.6900,995900,7389062.0000,3,1.318093,1,-6.760000,410.933734,4.807988,253.622801,5.346834,0
2004-06-10,sh.600733,7.1100,7.3000,7.1000,7.2400,7.1700,503134,3631128.0000,3,0.665908,1,0.980000,414.945640,4.854928,256.098895,5.399035,0
2004-06-11,sh.600733,7.2400,7.4800,7.2100,7.2300,7.2400,380810,2805472.0000,3,0.504009,1,-0.140000,414.372510,4.848222,255.745167,5.391578,0
2004-06-14,sh.600733,7.1500,7.2200,6.8500,6.8800,7.2300,603649,4231831.0000,3,0.798941,1,-4.840000,394.312983,4.613523,243.364696,5.130575,0
2004-06-15,sh.600733,6.8800,7.2400,6.8000,7.1900,6.8800,478677,3349539.0000,3,0.633538,1,4.510000,412.079993,4.821400,254.330256,5.361749,0
2004-06-16,sh.600733,7.1800,7.2800,7.0000,7.1000,7.1900,366563,2620558.0000,3,0.485153,1,-1.250000,406.921829,4.761048,251.146707,5.294634,0
2004-06-17,sh.600733,7.0200,7.2100,6.9000,6.9000,7.1000,362500,2533211.0000,3,0.479776,1,-2.820000,395.459242,4.626934,244.072151,5.145489,0
2004-06-18,sh.600733,6.9000,7.1600,6.8800,6.9900,6.9000,207450,1447142.0000,3,0.274564,1,1.300000,400.617406,4.687286,247.255701,5.212604,0
2004-06-21,sh.600733,6.9200,7.1300,6.9200,7.1300,6.9900,217950,1538332.0000,3,0.288461,1,2.000000,408.641217,4.781165,252.207890,5.317005,0
