date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2012-03-29,sh.601238,9.8000,10.5500,9.1100,9.2000,9.0900,153671101,1494620247.0000,3,53.550949,1,1.210117,13.859425,5.389723,37.104804,2.030339,0
2012-03-30,sh.601238,9.2000,9.3700,8.4700,8.5200,9.2000,43431582,383016262.0000,3,15.134937,1,-7.391300,12.835033,4.991352,34.362275,1.880270,0
2012-04-05,sh.601238,8.5200,8.6300,8.2400,8.6100,8.5200,29847426,251199529.0000,3,10.401162,1,1.056300,12.970614,5.044078,34.725257,1.900132,0
2012-04-06,sh.601238,8.5800,9.1900,8.3700,9.0400,8.6100,39224256,343598477.0000,3,13.668778,1,4.994200,13.618392,5.295989,36.459503,1.995028,0
2012-04-09,sh.601238,8.8500,8.9600,8.5800,8.5900,9.0400,21836041,191111669.0000,3,7.609373,1,-4.977900,12.940485,5.032361,34.644594,1.895718,0
2012-04-10,sh.601238,8.4500,8.7500,8.3300,8.7000,8.5900,17837854,151600858.0000,3,6.216094,1,1.280600,13.106196,5.096803,35.088238,1.919994,0
2012-04-11,sh.601238,8.5000,8.8600,8.4300,8.5800,8.7000,18063029,156309047.0000,3,6.294562,1,-1.379300,12.925421,5.026502,34.604263,1.893511,0
2012-04-12,sh.601238,8.5100,8.7500,8.4300,8.7200,8.5800,17338469,149371049.0000,3,6.042070,1,1.631700,13.136325,5.108520,35.168901,1.924408,0
2012-04-13,sh.601238,8.7100,8.7700,8.6200,8.6400,8.7200,16142765,140236476.0000,3,5.625393,1,-0.917400,13.015808,5.061653,34.846251,1.906753,0
2012-04-16,sh.601238,8.5400,8.5500,8.3800,8.4400,8.6400,14799666,125358481.0000,3,5.157353,1,-2.314800,12.714516,4.944485,34.039624,1.862615,0
2012-04-17,sh.601238,8.4400,8.5200,8.3000,8.3700,8.4400,12576695,105581645.0000,3,4.382698,1,-0.829400,12.609064,4.903476,33.757305,1.847167,0
2012-04-18,sh.601238,8.3900,8.6500,8.3600,8.5700,8.3700,15667297,133494833.0000,3,5.459703,1,2.389500,12.910356,5.020644,34.563931,1.891305,0
2012-04-19,sh.601238,8.6000,8.6800,8.4400,8.4700,8.5700,11677922,99845034.0000,3,4.069495,1,-1.166900,12.759710,4.962060,34.160618,1.869236,0
2012-04-20,sh.601238,8.4700,8.4700,8.4700,8.4700,8.4700,0,0.0000,3,,0,0.000000,12.759710,4.962060,34.160618,1.869236,0
2012-04-23,sh.601238,8.5300,8.5800,8.3700,8.4000,8.4700,11187740,94352327.0000,3,3.898678,1,-0.826400,12.654258,4.921051,33.878299,1.853787,0
2012-04-24,sh.601238,8.3500,8.4700,7.8900,8.0900,8.4000,15112399,123157052.0000,3,5.266334,1,-3.690500,12.187256,4.739441,32.628029,1.785374,0
2012-04-25,sh.601238,8.0600,8.1700,7.9800,8.1400,8.0900,11758049,94900078.0000,3,4.097418,1,0.618000,12.262579,4.768733,32.829685,1.796408,0
2012-04-26,sh.601238,8.1000,8.1300,8.0100,8.0500,8.1400,9368137,75587763.0000,3,3.264587,1,-1.105700,12.126997,4.716008,32.466703,1.776546,0
2012-04-27,sh.601238,8.0600,8.4500,8.0200,8.3000,8.0500,16939439,140815695.0000,3,5.903016,1,3.105600,12.503612,4.862467,33.474986,1.831719,0
2012-05-02,sh.601238,8.3500,8.8400,8.3000,8.6900,8.3000,24544355,210388829.0000,3,8.553160,1,4.698800,14.970864,5.224696,701.231669,1.716236,0
2012-05-03,sh.601238,8.6000,8.6600,8.4700,8.5600,8.6900,13761233,117726548.0000,3,4.795483,1,-1.496000,14.746904,5.146536,690.741437,1.690562,0
2012-05-04,sh.601238,8.5200,8.6500,8.4500,8.5400,8.5600,9356618,80022561.0000,3,3.260573,1,-0.233600,14.712449,5.134511,689.127555,1.686612,0
2012-05-07,sh.601238,8.4800,8.5300,8.3500,8.4400,8.5400,12320550,103872444.0000,3,4.293437,1,-1.171000,14.540172,5.074388,681.058146,1.666862,0
2012-05-08,sh.601238,8.4400,8.6200,8.2600,8.5300,8.4400,12897421,109061133.0000,3,4.494463,1,1.066400,14.695221,5.128499,688.320615,1.684637,0
2012-05-09,sh.601238,8.4500,8.4700,8.3200,8.3300,8.5300,7295439,61142915.0000,3,2.542298,1,-2.344700,14.350667,5.008253,672.181796,1.645138,0
2012-05-10,sh.601238,8.3800,8.4300,8.2100,8.3400,8.3300,6391720,53163794.0000,3,2.227372,1,0.120000,14.367895,5.014265,672.988737,1.647113,0
2012-05-11,sh.601238,8.3000,8.4000,8.2400,8.2700,8.3400,4692899,38995106.0000,3,1.635371,1,-0.839300,14.247301,4.972179,667.340150,1.633288,0
2012-05-14,sh.601238,8.3400,8.4400,8.1800,8.1900,8.2700,7273994,60367957.0000,3,2.534825,1,-0.967400,14.109480,4.924080,660.884623,1.617488,0
2012-05-15,sh.601238,8.1400,8.2800,8.0700,8.2600,8.1900,5446436,44532835.0000,3,1.897961,1,0.854700,14.230074,4.966167,666.533209,1.631313,0
2012-05-16,sh.601238,8.2100,8.2600,8.0400,8.0500,8.2600,5132830,41716398.0000,3,1.788677,1,-2.542400,13.868292,4.839908,649.587450,1.589839,0
2012-05-17,sh.601238,8.0600,8.2400,8.0400,8.2100,8.0500,7057816,57567157.0000,3,2.459491,1,1.987600,14.143935,4.936105,662.498505,1.621438,0
2012-05-18,sh.601238,8.1000,8.1600,8.0200,8.0600,8.2100,5179765,41824495.0000,3,1.805033,1,-1.827000,13.885520,4.845920,650.394391,1.591814,0
2012-05-21,sh.601238,8.0600,8.1200,8.0000,8.0300,8.0600,3511399,28253958.0000,3,1.223644,1,-0.372200,13.833837,4.827883,647.973568,1.585889,0
2012-05-22,sh.601238,8.0800,8.1500,8.0600,8.1200,8.0300,4050014,32804981.0000,3,1.411339,1,1.120800,13.988886,4.881994,655.236036,1.603664,0
2012-05-23,sh.601238,8.0900,8.1400,8.0400,8.1300,8.1200,4148992,33559612.0000,3,1.445831,1,0.123200,14.006114,4.888007,656.042977,1.605639,0
2012-05-24,sh.601238,8.1000,8.1200,8.0000,8.0200,8.1300,4277130,34462211.0000,3,1.490484,1,-1.353000,13.816609,4.821871,647.166627,1.583914,0
2012-05-25,sh.601238,8.0300,8.0600,7.8300,7.8600,8.0200,5735341,45476811.0000,3,1.998638,1,-1.995000,13.540966,4.725674,634.255572,1.552315,0
2012-05-28,sh.601238,7.7500,8.3600,7.6900,8.3100,7.8600,16955151,136114218.0000,3,5.908492,1,5.725200,14.316212,4.996228,670.567914,1.641188,0
2012-05-29,sh.601238,8.2500,8.4500,8.2000,8.3200,8.3100,15639187,130236641.0000,3,5.449908,1,0.120300,14.333440,5.002240,671.374855,1.643163,0
2012-05-30,sh.601238,8.2800,8.3500,8.2100,8.2400,8.3200,7185899,59376233.0000,3,2.504125,1,-0.961500,14.195618,4.954142,664.919328,1.627363,0
2012-05-31,sh.601238,8.1900,8.2000,8.0400,8.0700,8.2400,8410673,68219357.0000,3,2.930932,1,-2.063100,13.902747,4.851933,651.201332,1.593789,0
2012-06-01,sh.601238,8.0500,8.1300,7.9500,7.9900,8.0700,4618435,37136768.0000,3,1.609422,1,-0.991300,13.764926,4.803834,644.745804,1.577989,0
2012-06-04,sh.601238,7.8600,8.0900,7.7500,7.7600,7.9900,7835773,61782963.0000,3,2.730592,1,-2.878600,13.368689,4.665551,626.186163,1.532565,0
2012-06-05,sh.601238,7.7800,7.8500,7.7000,7.8000,7.7600,3634629,28284079.0000,3,1.266587,1,0.515500,13.437600,4.689600,629.413927,1.540465,0
2012-06-06,sh.601238,7.8000,7.8500,7.6600,7.7400,7.8000,4973499,38550210.0000,3,1.733153,1,-0.769200,13.334234,4.653527,624.572281,1.528615,0
2012-06-07,sh.601238,7.8600,7.8900,7.6600,7.6900,7.7400,4929891,38281667.0000,3,1.717957,1,-0.646000,13.248095,4.623465,620.537576,1.518741,0
2012-06-08,sh.601238,7.7800,7.8200,7.5800,7.6200,7.6900,7205298,55507041.0000,3,2.510886,1,-0.910300,13.127501,4.581379,614.888990,1.504916,0
2012-06-11,sh.601238,7.6400,7.7500,7.5800,7.7200,7.6200,5357691,41143340.0000,3,1.867036,1,1.312300,13.299778,4.641502,622.958399,1.524666,0
2012-06-12,sh.601238,7.6700,7.7000,7.6000,7.6200,7.7200,3644205,27836348.0000,3,1.269924,1,-1.295300,13.127501,4.581379,614.888990,1.504916,0
2012-06-13,sh.601238,7.6300,7.7400,7.6100,7.7200,7.6200,11248614,86195815.0000,3,3.919891,1,1.312300,13.299778,4.641502,622.958399,1.524666,0
2012-06-14,sh.601238,7.7200,7.8300,7.6600,7.6900,7.7200,8065132,62583380.0000,3,2.810519,1,-0.388600,13.248095,4.623465,620.537576,1.518741,0
2012-06-15,sh.601238,7.7100,7.7400,7.6300,7.6900,7.6900,5371663,41297370.0000,3,1.871905,1,0.000000,13.248095,4.623465,620.537576,1.518741,0
2012-06-18,sh.601238,7.7200,7.9800,7.7200,7.8600,7.6900,12651534,99626839.0000,3,4.408777,1,2.210700,13.540966,4.725674,634.255572,1.552315,0
2012-06-19,sh.601238,7.8100,7.9200,7.8000,7.9100,7.8600,7251878,56989238.0000,3,2.527118,1,0.636100,13.627104,4.755736,638.290277,1.562190,0
