date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-06-10,sh.600905,3.1800,3.8200,3.1800,3.8200,2.6500,157381727,596262424.9800,3,2.264700,1,44.150900,26.499833,8.757329,57.634186,2.514307,0
2021-06-11,sh.600905,4.2000,4.2000,4.2000,4.2000,3.8200,34734080,145883136.0000,3,0.499800,1,9.947600,29.135942,9.628477,63.367429,2.764421,0
2021-06-15,sh.600905,4.6200,4.6200,4.2300,4.6200,4.2000,3645307536,16407455025.2300,3,52.454600,1,10.000000,32.049536,10.591325,69.704172,3.040863,0
2021-06-16,sh.600905,4.6100,5.0700,4.3500,4.9500,4.6200,3148735008,15016698492.6900,3,45.309100,1,7.142900,34.338789,11.347848,74.683042,3.258067,0
2021-06-17,sh.600905,4.8700,5.4500,4.7700,5.4500,4.9500,1309220800,6872921050.5900,3,18.839200,1,10.101000,37.807353,12.494095,82.226783,3.587165,0
2021-06-18,sh.600905,5.9000,6.0000,5.7800,6.0000,5.4500,602439248,3565611747.4600,3,8.668900,1,10.091700,41.622774,13.754967,90.524899,3.949173,0
2021-06-21,sh.600905,6.6000,6.6000,6.6000,6.6000,6.0000,139373536,919865337.6000,3,2.005500,1,10.000000,45.785052,15.130464,99.577389,4.344090,0
2021-06-22,sh.600905,7.2600,7.2600,7.2600,7.2600,6.6000,36165464,262561268.6400,3,0.520400,1,10.000000,50.363557,16.643510,109.535128,4.778499,0
2021-06-23,sh.600905,7.9900,7.9900,7.9900,7.9900,7.2600,23131229,184818519.7100,3,0.332800,1,10.055100,55.427661,18.317031,120.548991,5.258981,0
2021-06-24,sh.600905,8.7900,8.7900,7.1900,7.3200,7.9900,3516945264,27698437625.3700,3,50.607500,1,-8.385500,50.779785,16.781060,110.440377,4.817991,0
2021-06-25,sh.600905,6.9900,7.5400,6.7100,6.8900,7.3200,2193758784,15295257912.6100,3,31.567300,1,-5.874300,47.796819,15.795287,103.952759,4.534967,0
2021-06-28,sh.600905,6.7500,6.7500,6.3300,6.3500,6.8900,1881854928,12244437656.5500,3,27.079200,1,-7.837400,44.050770,14.557340,95.805518,4.179541,0
2021-06-29,sh.600905,6.2200,6.8600,6.1100,6.6800,6.3500,1953941104,12859344779.2700,3,28.116500,1,5.196900,46.340022,15.313863,100.784388,4.396745,0
2021-06-30,sh.600905,6.5200,6.5400,6.2800,6.3600,6.6800,1270944384,8106076688.2900,3,18.288400,1,-4.790400,44.120141,14.580265,95.956393,4.186123,0
2021-07-01,sh.600905,6.3000,6.5500,6.2300,6.2500,6.3600,980696560,6247749212.2000,3,14.111800,1,-1.729600,43.357057,14.328091,94.296770,4.113721,0
2021-07-02,sh.600905,6.2700,6.3200,5.9000,5.9500,6.2500,1066739568,6406020192.4900,3,15.350000,1,-4.800000,41.275918,13.640342,89.770525,3.916263,0
2021-07-05,sh.600905,5.9000,5.9800,5.7000,5.8400,5.9500,913494880,5287802860.1700,3,13.144800,1,-1.848700,40.512834,13.388168,88.110902,3.843861,0
2021-07-06,sh.600905,5.8500,6.4200,5.7500,6.4200,5.8400,1666310624,10229750031.1300,3,23.977600,1,9.931500,44.536369,14.717815,96.861642,4.225615,0
2021-07-07,sh.600905,6.3000,6.6400,6.1200,6.3800,6.4200,1527864608,9674468557.2600,3,21.985400,1,-0.623100,44.258883,14.626115,96.258143,4.199287,0
2021-07-08,sh.600905,6.4600,6.8900,6.3100,6.7600,6.3800,1542166016,10289354077.4100,3,22.191200,1,5.956100,46.894993,15.497263,101.991386,4.449401,0
2021-07-09,sh.600905,6.6800,7.1800,6.5300,6.9600,6.7600,1454306176,10042488423.3400,3,20.926900,1,2.958600,48.282418,15.955762,105.008883,4.581040,0
2021-07-12,sh.600905,6.8600,7.0000,6.6400,6.7800,6.9600,1183712736,8044042166.4700,3,17.033200,1,-2.586200,47.033735,15.543113,102.293136,4.462565,0
2021-07-13,sh.600905,6.6700,7.1500,6.6200,6.9900,6.7800,1304790752,9078657782.5800,3,18.775400,1,3.097300,48.490532,16.024537,105.461507,4.600786,0
2021-07-14,sh.600905,6.9900,7.1500,6.6900,6.8100,6.9900,1169349536,8087320908.1300,3,16.826500,1,-2.575100,47.241849,15.611888,102.745760,4.482311,0
2021-07-15,sh.600905,6.7100,6.7800,6.4200,6.5900,6.8100,858209184,5655317755.9400,3,12.349300,1,-3.230500,45.715681,15.107539,99.426514,4.337508,0
2021-07-16,sh.600905,6.7100,6.8800,6.5800,6.6100,6.5900,893805920,6022988960.1000,3,12.861500,1,0.303500,45.854423,15.153389,99.728264,4.350672,0
2021-07-19,sh.600905,6.4900,6.4900,6.2500,6.3300,6.6100,716390704,4548540840.4600,3,10.308600,1,-4.236000,43.912027,14.511490,95.503769,4.166377,0
2021-07-20,sh.600905,6.2300,6.4000,6.1700,6.3100,6.3300,507745968,3188383295.3800,3,7.306300,1,-0.316000,43.773284,14.465640,95.202019,4.153213,0
2021-07-21,sh.600905,6.3100,6.3500,6.2200,6.2400,6.3100,570056352,3566866109.9600,3,8.202900,1,-1.109400,43.287685,14.305166,94.145895,4.107139,0
2021-07-22,sh.600905,6.2700,6.4000,6.2300,6.2700,6.2400,565872048,3562733028.0400,3,8.142700,1,0.480800,43.495799,14.373941,94.598520,4.126885,0
2021-07-23,sh.600905,6.2400,6.2400,6.0500,6.1000,6.2700,660967072,4028467516.1500,3,9.511100,1,-2.711300,42.316487,13.984217,92.033647,4.014992,0
2021-07-26,sh.600905,6.0800,6.0800,5.8500,5.9600,6.1000,541008544,3220634951.4200,3,7.784900,1,-2.295100,41.345289,13.663267,89.921400,3.922845,0
2021-07-27,sh.600905,5.9200,6.3500,5.8100,6.2500,5.9600,1012908208,6209198672.6900,3,14.575400,1,4.865800,43.357057,14.328091,94.296770,4.113721,0
2021-07-28,sh.600905,6.2000,6.2000,5.8000,5.9600,6.2500,555526176,3339290426.4400,3,7.993800,1,-4.640000,41.345289,13.663267,89.921400,3.922845,0
2021-07-29,sh.600905,5.9500,6.0800,5.9200,6.0100,5.9600,476929776,2861733981.1600,3,6.862800,1,0.838900,41.692146,13.777892,90.675774,3.955755,0
2021-07-30,sh.600905,5.9600,6.2800,5.9000,6.1200,6.0100,627187856,3834746295.4600,3,9.025000,1,1.830300,42.455230,14.030066,92.335397,4.028156,0
2021-08-02,sh.600905,6.1300,6.1700,5.9500,6.1000,6.1200,533699600,3230837658.2500,3,7.679700,1,-0.326800,42.316487,13.984217,92.033647,4.014992,0
2021-08-03,sh.600905,6.0300,6.1400,5.9700,5.9900,6.1000,466117312,2811818126.1700,3,6.707200,1,-1.803300,41.553403,13.732042,90.374024,3.942591,0
2021-08-04,sh.600905,5.9700,6.1500,5.9300,6.1100,5.9900,514523264,3100822755.6400,3,7.403800,1,2.003300,42.385859,14.007141,92.184522,4.021574,0
2021-08-05,sh.600905,6.0500,6.1000,5.9800,6.0000,6.1100,382434304,2303100629.7400,3,5.503100,1,-1.800300,41.622774,13.754967,90.524899,3.949173,0
2021-08-06,sh.600905,5.9600,5.9900,5.9200,5.9400,6.0000,326106816,1937120680.0800,3,4.692600,1,-1.000000,41.206547,13.617417,89.619650,3.909681,0
2021-08-09,sh.600905,5.9600,5.9900,5.8800,5.8900,5.9400,350273392,2070615250.5500,3,5.040300,1,-0.841800,40.859690,13.502793,88.865276,3.876771,0
2021-08-10,sh.600905,5.8700,5.8900,5.8200,5.8500,5.8900,382940160,2237084735.5000,3,5.510400,1,-0.679100,40.582205,13.411093,88.261777,3.850443,0
2021-08-11,sh.600905,5.8500,6.0300,5.7700,5.9200,5.8500,595644672,3516384187.0000,3,8.571100,1,1.196600,41.067804,13.571568,89.317900,3.896517,0
2021-08-12,sh.600905,5.8500,5.8800,5.8100,5.8200,5.9200,398823056,2322885975.2400,3,5.738900,1,-1.689200,40.374091,13.342318,87.809152,3.830697,0
2021-08-13,sh.600905,5.8000,5.8100,5.7100,5.7200,5.8200,393504272,2261638051.2000,3,5.662400,1,-1.718200,39.680378,13.113069,86.300404,3.764878,0
2021-08-16,sh.600905,5.7300,6.2400,5.7300,6.1000,5.7200,975397008,5826864413.2500,3,14.035600,1,6.643400,42.316487,13.984217,92.033647,4.014992,0
2021-08-17,sh.600905,6.1500,6.1500,5.9000,5.9100,6.1000,663096688,3972931540.3400,3,9.541700,1,-3.114800,40.998433,13.548643,89.167026,3.889935,0
2021-08-18,sh.600905,5.8200,5.8500,5.7600,5.8300,5.9100,356977824,2072488903.0100,3,5.136800,1,-1.353600,40.443462,13.365243,87.960027,3.837279,0
2021-08-19,sh.600905,5.8100,5.9000,5.7600,5.8300,5.8300,288436048,1681640910.0700,3,4.150500,1,0.000000,40.443462,13.365243,87.960027,3.837279,0
2021-08-20,sh.600905,5.8000,5.8100,5.7100,5.7400,5.8300,326506944,1873368307.7900,3,4.698300,1,-1.543700,39.819121,13.158919,86.602153,3.778042,0
2021-08-23,sh.600905,5.7200,5.8000,5.7000,5.7500,5.7400,270858864,1557440286.2800,3,3.897600,1,0.174200,39.888492,13.181843,86.753028,3.784624,0
2021-08-24,sh.600905,5.7300,5.8200,5.7000,5.7400,5.7500,358216960,2055500575.3400,3,5.154600,1,-0.173900,39.819121,13.158919,86.602153,3.778042,0
2021-08-25,sh.600905,5.7100,5.7300,5.6000,5.6200,5.7400,408402496,2301017146.9500,3,5.876800,1,-2.090600,38.986665,12.883819,84.791655,3.699058,0
2021-08-26,sh.600905,5.6000,5.6000,5.4700,5.4700,5.6200,419130016,2308667407.5200,3,6.031100,1,-2.669000,37.946096,12.539945,82.528533,3.600329,0
2021-08-27,sh.600905,5.5500,5.7000,5.5200,5.5300,5.4700,412154176,2308717369.3500,3,5.930700,1,1.096900,32.867193,11.647565,9.679353,2.339856,0
