date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-06-10,sh.601985,4.0700,4.8800,4.0700,4.8800,3.3900,741098,3575896.0000,3,0.019046,1,43.952800,30.731079,3.655792,82.091740,3.381623,0
2015-06-11,sh.601985,5.3700,5.3700,5.3700,5.3700,4.8800,381000,2045970.0000,3,0.009792,1,10.041000,33.816782,4.022870,90.334558,3.721171,0
2015-06-12,sh.601985,5.9100,5.9100,5.9100,5.9100,5.3700,394551,2331796.0000,3,0.010140,1,10.055900,37.217352,4.427404,99.418480,4.095367,0
2015-06-15,sh.601985,6.5000,6.5000,6.5000,6.5000,5.9100,589542,3832023.0000,3,0.015151,1,9.983100,40.932790,4.869396,109.343506,4.504210,0
2015-06-16,sh.601985,7.1500,7.1500,7.1500,7.1500,6.5000,807100,5770765.0000,3,0.020743,1,10.000000,45.026069,5.356335,120.277857,4.954631,0
2015-06-17,sh.601985,7.8700,7.8700,7.8700,7.8700,7.1500,1532229,12058642.0000,3,0.039379,1,10.069900,49.560163,5.895714,132.389753,5.453559,0
2015-06-18,sh.601985,8.6600,8.6600,8.6600,8.6600,7.8700,1332448,11539000.0000,3,0.034244,1,10.038100,54.535071,6.487533,145.679194,6.000994,0
2015-06-19,sh.601985,9.5300,9.5300,9.5300,9.5300,8.6600,7689915,73284890.0000,3,0.197633,1,10.046200,60.013768,7.139283,160.314402,6.603865,0
2015-06-23,sh.601985,10.4800,10.4800,10.4800,10.4800,9.5300,13405468,140489305.0000,3,0.344525,1,9.968500,65.996252,7.850964,176.295376,7.262173,0
2015-06-24,sh.601985,11.5300,11.5300,11.5300,11.5300,10.4800,6919239,79778826.0000,3,0.177827,1,10.019100,72.608472,8.637559,193.958558,7.989776,0
2015-06-25,sh.601985,12.6800,12.6800,12.6800,12.6800,11.5300,5769394,73155916.0000,3,0.148275,1,9.974000,79.850427,9.499067,213.303948,8.786675,0
2015-06-26,sh.601985,13.9500,13.9500,13.0100,13.9500,12.6800,1616476992,22291047424.0000,3,41.543999,1,10.015800,87.848065,10.450472,234.667986,9.666728,0
2015-06-29,sh.601985,13.7000,13.9500,12.5600,13.2300,13.9500,1705666144,22663793920.0000,3,43.836190,1,-5.161300,83.313971,9.911093,222.556090,9.167801,0
2015-06-30,sh.601985,12.8000,13.6600,11.9100,13.0700,13.2300,1311217248,16530763520.0000,3,33.698721,1,-1.209400,82.306395,9.791231,219.864558,9.056928,0
2015-07-01,sh.601985,12.6000,14.3800,12.0100,13.3200,13.0700,1773514688,24113340672.0000,3,45.579920,1,1.912800,83.880733,9.978515,224.070077,9.230167,0
2015-07-02,sh.601985,12.2500,13.0000,11.9900,11.9900,13.3200,1059540496,13092278272.0000,3,27.230545,1,-9.985000,75.505254,8.982162,201.696714,8.308536,0
2015-07-03,sh.601985,11.2500,11.8500,10.7900,10.7900,11.9900,666030624,7354151168.0000,3,17.117210,1,-10.008300,67.948432,8.083197,181.510220,7.476989,0
2015-07-06,sh.601985,11.8700,11.8700,9.7100,10.1200,10.7900,1067461328,11480446464.0000,3,27.434113,1,-6.209500,63.729205,7.581274,170.239428,7.012709,0
2015-07-07,sh.601985,9.3100,9.5500,9.1100,9.1100,10.1200,317142512,2924318112.0000,3,8.150669,1,-9.980200,57.368880,6.824645,153.249130,6.312824,0
2015-07-08,sh.601985,8.2000,8.2000,8.2000,8.2000,9.1100,47199400,387035088.0000,3,1.213040,1,-9.989000,51.638289,6.142930,137.941039,5.682235,0
2015-07-09,sh.601985,7.3800,9.0200,7.3800,9.0200,8.2000,945802976,7874380800.0000,3,24.307452,1,10.000000,56.802118,6.757223,151.735142,6.250458,0
2015-07-10,sh.601985,9.0800,9.9200,9.0400,9.9200,9.0200,361108688,3476178720.0000,3,9.280614,1,9.977800,62.469735,7.431447,166.875013,6.874118,0
2015-07-13,sh.601985,10.6800,10.9100,10.3000,10.9100,9.9200,728043104,7828808448.0000,3,18.710951,1,9.979800,68.704114,8.173093,183.528870,7.560144,0
2015-07-14,sh.601985,11.3200,11.9700,10.8700,11.5200,10.9100,1130123296,12981595904.0000,3,29.044546,1,5.591200,72.545499,8.630067,193.790337,7.982847,0
2015-07-15,sh.601985,10.9800,11.2300,10.3700,10.3700,11.5200,607443072,6471086336.0000,3,15.611490,1,-9.982600,65.303544,7.768559,174.444948,7.185948,0
2015-07-16,sh.601985,9.9000,11.3300,9.4800,10.8600,10.3700,693476032,7428417280.0000,3,17.822566,1,4.725200,68.389246,8.135636,182.687766,7.525496,0
2015-07-17,sh.601985,10.9500,11.8000,10.6600,11.5100,10.8600,707499008,7989513472.0000,3,18.182961,1,5.985300,72.482525,8.622576,193.622116,7.975917,0
2015-07-20,sh.601985,11.4500,11.6600,11.0000,11.3600,11.5100,718661248,8158905344.0000,3,18.469834,1,-1.303200,71.537922,8.510205,191.098805,7.871974,0
2015-07-21,sh.601985,11.0200,12.5000,10.9000,12.1800,11.3600,987526656,11764906496.0000,3,25.379765,1,7.218300,76.701751,9.124498,204.892909,8.440197,0
2015-07-22,sh.601985,11.8800,12.1000,11.5500,11.9100,12.1800,721371680,8554126080.0000,3,18.539493,1,-2.216800,75.001466,8.922231,200.350948,8.253099,0
2015-07-23,sh.601985,11.8000,12.7000,11.6100,12.1800,11.9100,778419728,9507649536.0000,3,20.005647,1,2.267000,76.701751,9.124498,204.892909,8.440197,0
2015-07-24,sh.601985,12.1800,12.2800,11.6000,11.7000,12.1800,689613136,8262504704.0000,3,17.723288,1,-3.940900,73.679022,8.764912,196.818311,8.107579,0
2015-07-27,sh.601985,11.3400,11.6600,10.5300,10.5300,11.7000,495968880,5514248960.0000,3,12.746566,1,-10.000000,66.311120,7.888421,177.136480,7.296821,0
2015-07-28,sh.601985,9.7000,10.8000,9.4800,10.0100,10.5300,511096720,5095031296.0000,3,13.135356,1,-4.938300,63.036497,7.498869,168.389000,6.936484,0
2015-07-29,sh.601985,10.2300,10.8000,9.8600,10.7200,10.0100,407695664,4182651344.0000,3,10.477915,1,7.092900,67.507617,8.030757,180.332675,7.428482,0
2015-07-30,sh.601985,10.5000,11.6600,10.3900,10.8500,10.7200,625568992,6900798976.0000,3,16.077332,1,1.212700,68.326273,8.128145,182.519545,7.518567,0
2015-07-31,sh.601985,10.5800,11.1900,10.2000,10.5100,10.8500,411278016,4358333184.0000,3,10.569982,1,-3.133600,66.185173,7.873438,176.800039,7.282962,0
2015-08-03,sh.601985,10.2800,10.7900,10.0000,10.3100,10.5100,330759936,3417090192.0000,3,8.500641,1,-1.902900,64.925702,7.723610,173.435623,7.144371,0
2015-08-04,sh.601985,10.5000,11.1200,10.3100,11.0500,10.3100,491393584,5286174976.0000,3,12.628979,1,7.177500,69.585743,8.277972,185.883961,7.657158,0
2015-08-05,sh.601985,10.9000,11.0700,10.5000,10.6600,11.0500,478950384,5175477760.0000,3,12.309185,1,-3.529400,67.129776,7.985809,179.323350,7.386905,0
2015-08-06,sh.601985,10.3800,11.0800,10.2800,10.7700,10.6600,384543120,4120615808.0000,3,9.882887,1,1.031900,67.822484,8.068214,181.173779,7.463130,0
2015-08-07,sh.601985,10.9000,11.3800,10.7800,11.1200,10.7700,544224880,6072840960.0000,3,13.986761,1,3.249800,70.026558,8.330412,187.061506,7.705665,0
2015-08-10,sh.601985,11.6500,12.2300,11.4000,12.2300,11.1200,856848608,10186801152.0000,3,22.021296,1,9.982000,77.016619,9.161955,205.734012,8.474845,0
2015-08-11,sh.601985,12.3000,12.7200,12.0100,12.1900,12.2300,999053808,12378486016.0000,3,25.676017,1,-0.327100,76.764725,9.131989,205.061129,8.447127,0
2015-08-12,sh.601985,11.8400,12.3300,11.7200,11.8300,12.1900,473603216,5660044544.0000,3,12.171761,1,-2.953200,74.497678,8.862300,199.005181,8.197663,0
2015-08-13,sh.601985,11.7100,12.3600,11.6800,12.2400,11.8300,551241952,6669168128.0000,3,14.167102,1,3.465800,77.079592,9.169446,205.902233,8.481775,0
2015-08-14,sh.601985,12.3300,12.3900,11.8200,11.9200,12.2400,473290240,5719425792.0000,3,12.163717,1,-2.614400,75.064440,8.929722,200.519168,8.260029,0
2015-08-17,sh.601985,11.7000,11.8500,11.3900,11.7300,11.9200,445086672,5178102016.0000,3,11.438876,1,-1.594000,73.867943,8.787386,197.322974,8.128367,0
2015-08-18,sh.601985,11.6600,11.7800,10.5600,10.5600,11.7300,574343728,6348723968.0000,3,14.760826,1,-9.974400,66.500040,7.910895,177.641142,7.317609,0
2015-08-19,sh.601985,10.1200,10.7900,9.8000,10.6800,10.5600,389604832,4011083936.0000,3,10.012974,1,1.136400,67.255723,8.000791,179.659792,7.400764,0
2015-08-20,sh.601985,10.4900,10.5600,10.1000,10.1700,10.6800,225515626,2331484288.0000,3,5.795827,1,-4.775300,64.044073,7.618731,171.080532,7.047357,0
2015-08-21,sh.601985,10.0400,10.3000,9.8300,9.9900,10.1700,265529179,2671160656.0000,3,6.824189,1,-1.769900,62.910550,7.483886,168.052558,6.922625,0
2015-08-24,sh.601985,9.6100,9.7000,8.9900,8.9900,9.9900,289760704,2645016160.0000,3,7.446947,1,-10.010000,56.613197,6.734749,151.230480,6.229669,0
