date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2010-02-09,sh.601106,5.4800,5.6700,5.3400,5.5200,5.7000,168348984,929111363.0000,3,16.834898,1,-3.157892,35.861599,3.535827,3234.253718,9.629078,0
2010-02-10,sh.601106,5.5000,5.5800,5.4200,5.5500,5.5200,67665301,371751941.0000,3,6.766530,1,0.543500,36.056499,3.555043,3251.831184,9.681409,0
2010-02-11,sh.601106,5.5200,5.5400,5.4700,5.5100,5.5500,43408672,238836255.0000,3,4.340867,1,-0.720700,35.796632,3.529421,3228.394563,9.611634,0
2010-02-12,sh.601106,5.5400,5.5800,5.4900,5.5200,5.5100,50412479,279067183.0000,3,5.041248,1,0.181500,35.861599,3.535827,3234.253718,9.629078,0
2010-02-22,sh.601106,5.4900,5.5700,5.4700,5.5200,5.5200,35470632,195828863.0000,3,3.547063,1,0.000000,35.861599,3.535827,3234.253718,9.629078,0
2010-02-23,sh.601106,5.5000,5.5500,5.4800,5.5400,5.5200,30834976,170101481.0000,3,3.083498,1,0.362300,35.991532,3.548638,3245.972029,9.663966,0
2010-02-24,sh.601106,5.5000,5.6200,5.4500,5.6000,5.5400,52665378,292397597.0000,3,5.266538,1,1.083000,36.381332,3.587070,3281.126960,9.768629,0
2010-02-25,sh.601106,5.5900,5.8000,5.5600,5.6800,5.6000,141919037,806230958.0000,3,14.191904,1,1.428600,36.901065,3.638314,3328.000203,9.908181,0
2010-02-26,sh.601106,5.6000,5.6400,5.5300,5.5600,5.6800,60360310,336501319.0000,3,6.036031,1,-2.112700,36.121465,3.561449,3257.690339,9.698853,0
2010-03-01,sh.601106,5.5700,5.6300,5.5400,5.6100,5.5600,31155082,173834538.0000,3,3.115508,1,0.899300,36.446299,3.593476,3286.986116,9.786073,0
2010-03-02,sh.601106,5.6200,5.6500,5.5300,5.5600,5.6100,28868744,161470140.0000,3,2.886874,1,-0.891300,36.121465,3.561449,3257.690339,9.698853,0
2010-03-03,sh.601106,5.5600,5.6900,5.4900,5.6800,5.5600,63483123,357052282.0000,3,6.348312,1,2.158300,36.901065,3.638314,3328.000203,9.908181,0
2010-03-04,sh.601106,5.7900,5.8000,5.5600,5.5800,5.6800,81102111,462527350.0000,3,8.110211,1,-1.760600,36.251399,3.574259,3269.408650,9.733741,0
2010-03-05,sh.601106,5.5800,5.6400,5.5400,5.5800,5.5800,31859876,177861908.0000,3,3.185988,1,0.000000,36.251399,3.574259,3269.408650,9.733741,0
