date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-12-26,sz.002920,24.5000,29.4000,24.5000,29.4000,20.4200,59715,1752288.0000,3,0.059715,1,43.976500,27.162801,2.647975,2765.572700,10.101650,0
2017-12-27,sz.002920,32.3400,32.3400,32.3400,32.3400,29.4000,25300,818202.0000,3,0.025300,1,10.000000,29.879081,2.912773,3042.129970,11.111815,0
2017-12-28,sz.002920,35.5700,35.5700,35.5700,35.5700,32.3400,33670,1197641.0000,3,0.033670,1,9.987600,32.863293,3.203690,3345.966699,12.221622,0
2017-12-29,sz.002920,39.1300,39.1300,39.1300,39.1300,35.5700,150458,5887421.0000,3,0.150458,1,10.008400,36.152394,3.524329,3680.845570,13.444815,0
2018-01-02,sz.002920,43.0400,43.0400,43.0400,43.0400,39.1300,2711787,116715312.0000,3,2.711787,1,9.992332,39.764862,3.876492,4048.647925,14.788266,0
2018-01-03,sz.002920,45.0000,47.0000,42.0200,44.5600,43.0400,52637692,2333228464.0000,3,52.637692,1,3.531600,41.169198,4.013394,4191.629915,15.310528,0
2018-01-04,sz.002920,43.3900,48.0000,43.1500,46.1600,44.5600,42305881,1933484560.0000,3,42.305881,1,3.590661,42.647445,4.157501,4342.137273,15.860278,0
2018-01-05,sz.002920,46.1200,47.5000,43.5000,43.6300,46.1600,33276478,1497286560.0000,3,33.276478,1,-5.480933,40.309966,3.929631,4104.147514,14.990986,0
2018-01-08,sz.002920,47.8900,47.9900,46.3800,47.9900,43.6300,39215531,1866861552.0000,3,39.215531,1,9.993126,44.338191,4.322324,4514.280064,16.489054,0
2018-01-09,sz.002920,48.0000,48.7500,44.3300,45.1400,47.9900,39137766,1804919008.0000,3,39.137766,1,-5.938742,41.705062,4.065633,4246.188833,15.509813,0
2018-01-10,sz.002920,43.6800,44.6300,42.2800,43.2100,45.1400,25985386,1127222493.0000,3,25.985386,1,-4.275588,39.921926,3.891803,4064.639332,14.846677,0
2018-01-11,sz.002920,42.7100,44.8000,41.5100,43.7600,43.2100,20958194,914654991.4700,3,20.958194,1,1.272852,40.430074,3.941340,4116.376236,15.035654,0
2018-01-12,sz.002920,42.9500,43.7500,41.6400,41.7100,43.7600,17627767,747991387.2800,3,17.627767,1,-4.684642,38.536069,3.756702,3923.538684,14.331287,0
2018-01-15,sz.002920,41.0000,41.0000,38.5100,39.1800,41.7100,17985334,713946683.9600,3,17.985334,1,-6.065689,36.198590,3.528832,3685.548925,13.461995,0
2018-01-16,sz.002920,38.9100,40.2000,38.9000,39.4600,39.1800,11337990,450260813.6700,3,11.337990,1,0.714647,36.457283,3.554051,3711.887712,13.558201,0
2018-01-17,sz.002920,39.1700,40.4700,38.6800,39.9600,39.4600,11872504,470895022.8500,3,11.872504,1,1.267106,36.919235,3.599085,3758.921262,13.729998,0
2018-01-18,sz.002920,39.5900,39.9700,39.0000,39.0000,39.9600,9097112,358078842.6600,3,9.097112,1,-2.402400,36.032287,3.512620,3668.616847,13.400148,0
2018-01-19,sz.002920,39.0100,39.9700,38.9000,39.2600,39.0000,8838998,348178131.3500,3,8.838998,1,0.666662,36.272502,3.536038,3693.074293,13.489483,0
2018-01-22,sz.002920,39.6500,39.6500,37.5000,38.2600,39.2600,9444600,363716201.8400,3,9.444600,1,-2.547122,35.348597,3.445970,3599.007194,13.145889,0
2018-01-23,sz.002920,38.3000,39.8800,38.3000,39.4900,38.2600,10352884,407670591.1100,3,10.352884,1,3.214855,36.485000,3.556753,3714.709725,13.568509,0
2018-01-24,sz.002920,39.3000,40.8800,39.0000,40.0700,39.4900,11719914,470900443.3200,3,11.719914,1,1.468721,37.020865,3.608992,3769.268642,13.767793,0
2018-01-25,sz.002920,40.2000,40.8000,39.6000,39.8200,40.0700,10252473,412524895.2800,3,10.252473,1,-0.623908,36.789889,3.586475,3745.751868,13.681895,0
2018-01-26,sz.002920,39.5100,39.7400,38.3200,38.9000,39.8200,10778773,418542080.3000,3,10.778773,1,-2.310392,35.939896,3.503613,3659.210137,13.365789,0
2018-01-29,sz.002920,38.6800,38.9900,37.6200,38.0400,38.9000,6969365,266362007.3400,3,6.969365,1,-2.210799,35.145338,3.426156,3578.312432,13.070299,0
2018-01-30,sz.002920,37.6600,38.4900,37.5800,38.3300,38.0400,5478635,208903738.2100,3,5.478635,1,0.762358,35.413271,3.452275,3605.591891,13.169941,0
