date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2014-11-06,sh.603019,7.6200,7.6200,7.6200,7.6200,5.2900,64400,490728.0000,3,0.085867,1,44.045370,21.339480,0.949054,22.078260,3.063388,0
2014-11-07,sh.603019,8.3800,8.3800,8.3800,8.3800,7.6200,10722,89850.0000,3,0.014296,1,9.973800,23.467827,1.043711,24.280292,3.368922,0
2014-11-10,sh.603019,9.2200,9.2200,9.2200,9.2200,8.3800,15600,143832.0000,3,0.020800,1,10.023900,25.820211,1.148331,26.714116,3.706619,0
2014-11-11,sh.603019,10.1400,10.1400,10.1400,10.1400,9.2200,20500,207870.0000,3,0.027333,1,9.978300,28.396631,1.262915,29.379732,4.076476,0
2014-11-12,sh.603019,11.1500,11.1500,11.1500,11.1500,10.1400,21900,244185.0000,3,0.029200,1,9.960500,31.225093,1.388708,32.306116,4.482516,0
2014-11-13,sh.603019,12.2700,12.2700,12.2700,12.2700,11.1500,35300,433131.0000,3,0.047067,1,10.044900,34.361604,1.528202,35.551215,4.932778,0
2014-11-14,sh.603019,13.5000,13.5000,13.5000,13.5000,12.2700,42600,575100.0000,3,0.056800,1,10.024400,37.806166,1.681396,39.115028,5.427261,0
2014-11-17,sh.603019,14.8500,14.8500,14.8500,14.8500,13.5000,81400,1208790.0000,3,0.108533,1,10.000000,41.586783,1.849535,43.026531,5.969988,0
2014-11-18,sh.603019,16.3400,16.3400,16.3400,16.3400,14.8500,153500,2508190.0000,3,0.204667,1,10.033700,45.759463,2.035111,47.343671,6.568996,0
2014-11-19,sh.603019,17.9700,17.9700,17.9700,17.9700,16.3400,191100,3434067.0000,3,0.254800,1,9.975500,50.324208,2.238124,52.066449,7.224288,0
2014-11-20,sh.603019,19.7700,19.7700,19.7700,19.7700,17.9700,181896,3596084.0000,3,0.242528,1,10.016700,55.365030,2.462310,57.281786,7.947923,0
2014-11-21,sh.603019,21.7500,21.7500,21.7500,21.7500,19.7700,249440,5425320.0000,3,0.332587,1,10.015200,60.909934,2.708915,63.018657,8.743921,0
2014-11-24,sh.603019,23.9300,23.9300,23.9300,23.9300,21.7500,213870,5117909.0000,3,0.285160,1,10.023000,67.014930,2.980429,69.335009,9.620323,0
2014-11-25,sh.603019,26.3200,26.3200,26.3200,26.3200,23.9300,346780,9127250.0000,3,0.462373,1,9.987500,73.708021,3.278099,76.259818,10.581150,0
2014-11-26,sh.603019,28.9500,28.9500,28.9500,28.9500,26.3200,325219,9415090.0000,3,0.433625,1,9.992400,81.073223,3.605660,83.880005,11.638460,0
2014-11-27,sh.603019,31.8500,31.8500,31.8500,31.8500,28.9500,223550,7120068.0000,3,0.298067,1,10.017300,89.194547,3.966848,92.282492,12.804317,0
2014-11-28,sh.603019,35.0400,35.0400,35.0400,35.0400,31.8500,467125,16368060.0000,3,0.622833,1,10.015700,98.128004,4.364156,101.525229,14.086758,0
2014-12-01,sh.603019,38.5400,38.5400,38.5400,38.5400,35.0400,310850,11980159.0000,3,0.414467,1,9.988600,107.929603,4.800073,111.666162,15.493826,0
2014-12-02,sh.603019,42.3900,42.3900,42.3900,42.3900,38.5400,342290,14509673.0000,3,0.456387,1,9.989600,118.711361,5.279582,122.821189,17.041601,0
2014-12-03,sh.603019,46.6300,46.6300,46.6300,46.6300,42.3900,254205,11853579.0000,3,0.338940,1,10.002400,130.585298,5.807665,135.106205,18.746163,0
2014-12-04,sh.603019,46.6300,46.6300,46.6300,46.6300,46.6300,0,0.0000,3,,0,0.000000,130.585298,5.807665,135.106205,18.746163,0
2014-12-05,sh.603019,51.2900,51.2900,51.2900,51.2900,46.6300,3727642,191190758.0000,3,4.970189,1,9.993600,143.635426,6.388058,148.608133,20.619573,0
2014-12-08,sh.603019,56.4200,56.4200,56.4200,56.4200,51.2900,8985418,506957280.0000,3,11.980557,1,10.001900,158.001769,7.026988,163.471844,22.681932,0
2014-12-09,sh.603019,53.2100,59.0000,50.7800,51.0800,56.4200,41207596,2198130880.0000,3,54.943461,1,-9.464700,143.047330,6.361903,147.999677,20.535149,0
2014-12-10,sh.603019,50.8100,54.9900,48.0200,52.2600,51.0800,22329358,1162966816.0000,3,29.772477,1,2.310100,146.351869,6.508869,151.418620,21.009532,0
