date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-05-15,sh.603267,29.1500,29.1500,29.1500,29.1500,20.2400,39342,1146819.0000,3,0.095167,1,44.021740,19.158561,5.068363,-968.043625,4.008046,0
2019-05-16,sh.603267,32.0700,32.0700,32.0700,32.0700,29.1500,15300,490671.0000,3,0.037010,1,10.017150,21.077704,5.576069,-1065.014032,4.409538,0
2019-05-17,sh.603267,35.2800,35.2800,35.2800,35.2800,32.0700,52350,1846908.0000,3,0.126633,1,10.009350,23.187446,6.134197,-1171.615063,4.850905,0
2019-05-20,sh.603267,38.8100,38.8100,38.8100,38.8100,35.2800,175750,6820858.0000,3,0.425133,1,10.005680,25.507505,6.747965,-1288.842987,5.336270,0
2019-05-21,sh.603267,42.6900,42.6900,42.6900,42.6900,38.8100,488003,20832848.0000,3,1.180462,1,9.997416,28.057598,7.422587,-1417.694077,5.869759,0
2019-05-22,sh.603267,46.0000,46.8600,43.6000,44.6300,42.6900,24880985,1115980176.0000,3,60.186224,1,4.544395,29.332645,7.759898,-1482.119621,6.136504,0
2019-05-23,sh.603267,43.0000,45.2900,42.5000,44.5700,44.6300,16764197,739078533.0000,3,40.552000,1,-0.134442,29.293210,7.749466,-1480.127079,6.128254,0
2019-05-24,sh.603267,44.0000,45.2400,42.6300,42.6300,44.5700,12378385,543103175.0000,3,29.942876,1,-4.352701,28.018164,7.412155,-1415.701534,5.861510,0
2019-05-27,sh.603267,41.9100,44.7000,41.1200,43.5800,42.6300,12494672,535810512.0000,3,30.224170,1,2.228479,28.642542,7.577333,-1447.250125,5.992132,0
2019-05-28,sh.603267,43.1100,46.4700,42.8000,44.9100,43.5800,16500803,739517599.0000,3,39.914860,1,3.051854,29.516672,7.808583,-1491.418154,6.175003,0
2019-05-29,sh.603267,44.6800,47.4700,44.5000,45.1100,44.9100,16546158,761346655.0000,3,40.024572,1,0.445337,29.648120,7.843357,-1498.059962,6.202503,0
