date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2017-11-21,sz.300726,13.3900,16.0700,13.3900,16.0700,11.1600,9357,149946.9900,3,0.023334,1,43.996410,31.376791,12.788221,-207.676913,7.047131,0
2017-11-22,sz.300726,17.6800,17.6800,17.6800,17.6800,16.0700,2824,49928.3200,3,0.007042,1,10.018670,34.520327,14.069430,-228.483374,7.753159,0
2017-11-23,sz.300726,19.4500,19.4500,19.4500,19.4500,17.6800,4600,89470.0000,3,0.011471,1,10.011310,37.976265,15.477965,-251.357558,8.529352,0
2017-11-24,sz.300726,21.4000,21.4000,21.4000,21.4000,19.4500,10383,222196.2000,3,0.025893,1,10.025700,41.783654,17.029740,-276.557930,9.384480,0
2017-11-27,sz.300726,23.5400,23.5400,23.5400,23.5400,21.4000,21596,508369.8400,3,0.053855,1,10.000010,45.962019,18.732714,-304.213723,10.322928,0
2017-11-28,sz.300726,25.8900,25.8900,25.8900,25.8900,23.5400,55668,1441244.5200,3,0.138823,1,9.983001,50.550411,20.602802,-334.583403,11.353467,0
2017-11-29,sz.300726,28.4800,28.4800,28.4800,28.4800,25.8900,74636,2125633.2800,3,0.186125,1,10.003860,55.607405,22.663878,-368.054666,12.489252,0
2017-11-30,sz.300726,31.3300,31.3300,31.3300,31.3300,28.4800,157454,4933033.8200,3,0.392653,1,10.007020,61.172051,24.931858,-404.885979,13.739055,0
2017-12-01,sz.300726,34.4600,34.4600,34.4600,34.4600,31.3300,161385,5561327.1000,3,0.402456,1,9.990421,67.283398,27.422656,-445.335807,15.111645,0
2017-12-04,sz.300726,37.9100,37.9100,31.2100,31.4000,34.4600,22188383,751259929.1300,3,55.332626,1,-8.879860,61.308726,24.987563,-405.790608,13.769752,0
2017-12-05,sz.300726,32.5000,34.5400,31.0000,31.9900,31.4000,18864076,618826244.9900,3,47.042584,1,1.878981,62.460705,25.457074,-413.415336,14.028483,0
2017-12-06,sz.300726,30.1000,31.3400,28.8900,30.6300,31.9900,15810150,475900212.9300,3,39.426808,1,-4.251330,59.805296,24.374810,-395.839692,13.432086,0
2017-12-07,sz.300726,29.7000,31.9400,29.0200,29.2800,30.6300,14635386,443711815.7800,3,36.497222,1,-4.407439,57.169411,23.300504,-378.393280,12.840074,0
2017-12-08,sz.300726,28.0100,31.9800,28.0100,30.1500,29.2800,14785225,443335278.5600,3,36.870885,1,2.971308,58.868092,23.992835,-389.636523,13.221593,0
2017-12-11,sz.300726,30.6000,31.2600,29.5100,30.5500,30.1500,12768023,389173493.2100,3,31.840456,1,1.326699,59.649095,24.311148,-394.805830,13.397003,0
2017-12-12,sz.300726,29.6000,29.8100,27.5000,27.5000,30.5500,13774232,393095336.7400,3,34.349706,1,-9.983631,53.693948,21.884012,-355.389864,12.059496,0
2017-12-13,sz.300726,27.4000,28.2700,27.0200,27.8300,27.5000,8026746,223100212.7600,3,20.016823,1,1.200000,54.338275,22.146620,-359.654542,12.204210,0
2017-12-14,sz.300726,27.6300,29.3800,27.5300,28.6100,27.8300,9625553,275243636.8300,3,24.003873,1,2.802733,55.861231,22.767330,-369.734691,12.546261,0
2017-12-15,sz.300726,28.4100,29.7000,28.2100,28.3000,28.6100,9100318,262858257.1200,3,22.694060,1,-1.083542,55.255954,22.520638,-365.728478,12.410317,0
2017-12-18,sz.300726,28.4800,28.6800,26.6800,28.1100,28.3000,8113450,224026134.5500,3,20.233042,1,-0.671373,54.884977,22.369439,-363.273057,12.326997,0
2017-12-19,sz.300726,27.9600,28.8000,27.8100,28.2100,28.1100,6466208,183223778.3800,3,16.125207,1,0.355740,55.080228,22.449017,-364.565384,12.370850,0
2017-12-20,sz.300726,27.9700,28.3500,26.8600,27.0800,28.2100,6143208,168503730.9900,3,15.319721,1,-4.005669,52.873895,21.549783,-349.962091,11.875314,0
2017-12-21,sz.300726,27.0100,27.0100,25.5100,26.3000,27.0800,7237229,190381424.5500,3,18.047953,1,-2.880357,51.350939,20.929073,-339.881942,11.533263,0
2017-12-22,sz.300726,26.4000,27.2800,26.2500,26.4200,26.3000,5261921,140861622.4700,3,13.121998,1,0.456277,51.585240,21.024567,-341.432734,11.585886,0
2017-12-25,sz.300726,26.3400,26.7500,25.3000,26.6700,26.4200,6350075,164880100.9800,3,15.835599,1,0.946253,52.073367,21.223513,-344.663551,11.695518,0
2017-12-26,sz.300726,26.3400,28.7500,26.3100,28.1000,26.6700,10623159,296244356.7400,3,26.491668,1,5.361831,54.865452,22.361481,-363.143824,12.322612,0
2017-12-27,sz.300726,27.7500,29.5400,27.7500,28.4100,28.1000,12010169,343627653.6400,3,29.950546,1,1.103201,55.470730,22.608174,-367.150037,12.458555,0
2017-12-28,sz.300726,27.9600,31.1800,27.6900,30.3200,28.4100,14035197,419863641.2500,3,35.000491,1,6.722984,59.200018,24.128118,-391.833479,13.296142,0
2017-12-29,sz.300726,29.7600,30.7500,28.8000,28.9000,30.3200,9988965,295029230.6900,3,24.910137,1,-4.683378,56.427458,22.998107,-373.482439,12.673434,0
2018-01-02,sz.300726,29.2600,29.9000,29.0100,29.4400,28.9000,7000789,205845686.5600,3,17.458327,1,1.868515,57.481812,23.427829,-380.461003,12.910238,0
2018-01-03,sz.300726,29.5000,30.3800,28.2500,28.7900,29.4400,8853144,258120849.7500,3,22.077666,1,-2.207879,56.212682,22.910571,-372.060879,12.625196,0
2018-01-04,sz.300726,28.3300,31.6700,28.3000,30.2600,28.7900,13951843,423973838.7900,3,34.792626,1,5.105937,59.082868,24.080371,-391.058083,13.269831,0
2018-01-05,sz.300726,29.7200,30.4400,29.2600,29.8600,30.2600,9322370,277417830.2400,3,23.247805,1,-1.321876,58.301865,23.762058,-385.888776,13.094420,0
2018-01-08,sz.300726,29.8000,31.3800,29.0500,31.2100,29.8600,10545684,318541592.0300,3,26.298464,1,4.521093,60.937750,24.836364,-403.335187,13.686431,0
2018-01-09,sz.300726,30.8000,33.3900,30.7000,32.2500,31.2100,14407742,464265026.2500,3,35.929531,1,3.332268,62.968357,25.663978,-416.775386,14.142500,0
2018-01-10,sz.300726,31.6000,32.2000,30.1600,31.0600,32.2500,9487001,296568476.8600,3,23.658357,1,-3.689924,60.644874,24.716997,-401.396697,13.620652,0
2018-01-11,sz.300726,30.3200,32.8000,30.2200,31.1700,31.0600,11090164,352817372.7900,3,27.656269,1,0.354155,60.859649,24.804533,-402.818256,13.668890,0
2018-01-12,sz.300726,30.7900,30.7900,29.2000,29.6500,31.1700,9250298,276840011.0500,3,23.068075,1,-4.876485,57.891838,23.594944,-383.174889,13.002329,0
2018-01-15,sz.300726,28.9800,29.2800,27.9600,28.1800,29.6500,6373486,181074908.6900,3,15.893980,1,-4.957839,55.021653,22.425144,-364.177686,12.357694,0
2018-01-16,sz.300726,28.1000,29.4400,27.9900,28.9000,28.1800,5597407,161195294.1300,3,13.958621,1,2.555001,56.427458,22.998107,-373.482439,12.673434,0
2018-01-17,sz.300726,29.0000,31.3600,28.5900,30.6000,28.9000,9939829,299930822.7400,3,24.787603,1,5.882356,59.746720,24.350937,-395.451994,13.418930,0
2018-01-18,sz.300726,30.3100,30.7900,29.8000,30.0900,30.6000,6476091,195985134.6900,3,16.149853,1,-1.666667,58.750942,23.945088,-388.861127,13.195281,0
