date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2015-01-28,sh.603698,15.0200,18.0300,15.0200,18.0300,12.5200,62300,1119958.0000,3,0.075699,1,44.009580,31.822798,5.877017,33.604190,8.295659,0
2015-01-29,sh.603698,19.8300,19.8300,19.8300,19.8300,18.0300,21300,422379.0000,3,0.025881,1,9.983400,34.999783,6.463741,36.959017,9.123845,0
2015-01-30,sh.603698,21.8100,21.8100,21.8100,21.8100,19.8300,32400,706644.0000,3,0.039368,1,9.984900,38.494466,7.109138,40.649328,10.034849,0
2015-02-02,sh.603698,23.9900,23.9900,23.9900,23.9900,21.8100,110500,2650895.0000,3,0.134265,1,9.995400,42.342148,7.819725,44.712397,11.037874,0
2015-02-03,sh.603698,26.3900,26.3900,26.3900,26.3900,23.9900,129700,3422783.0000,3,0.157594,1,10.004200,46.578128,8.602024,49.185500,12.142121,0
2015-02-04,sh.603698,29.0300,29.0300,29.0300,29.0300,26.3900,140301,4072938.0000,3,0.170475,1,10.003800,51.237705,9.462552,54.105914,13.356793,0
2015-02-05,sh.603698,31.9300,31.9300,31.9300,31.9300,29.0300,231500,7391795.0000,3,0.281288,1,9.989700,56.356181,10.407830,59.510914,14.691093,0
2015-02-06,sh.603698,35.1200,35.1200,29.7100,33.7500,31.9300,52177006,1695865904.0000,3,63.398549,1,5.700000,59.568465,11.001073,62.903017,15.528480,0
2015-02-09,sh.603698,31.5000,31.9700,30.3800,30.3800,33.7500,15573330,477596048.0000,3,18.922637,1,-9.985200,53.620444,9.902595,56.622034,13.977933,0
2015-02-10,sh.603698,28.9100,29.3800,28.0200,28.6900,30.3800,22489565,642029600.0000,3,27.326324,1,-5.562900,50.637608,9.351727,53.472224,13.200358,0
2015-02-11,sh.603698,28.9000,29.6200,28.5600,28.9000,28.6900,17702014,514792704.0000,3,21.509130,1,0.732000,51.008256,9.420178,53.863621,13.296980,0
2015-02-12,sh.603698,29.0000,29.5700,27.7200,28.5100,28.9000,18434113,527555520.0000,3,22.398679,1,-1.349500,50.319910,9.293054,53.136741,13.117540,0
2015-02-13,sh.603698,28.6800,30.7700,28.4100,30.0700,28.5100,20743030,610117712.0000,3,25.204168,1,5.471800,53.073296,9.801548,56.044259,13.835301,0
2015-02-16,sh.603698,29.6500,30.4800,29.3000,29.8700,30.0700,16331488,487007728.0000,3,19.843849,1,-0.665100,52.720298,9.736357,55.671500,13.743280,0
2015-02-17,sh.603698,29.8700,30.0800,29.0100,29.1200,29.8700,10154167,299006064.0000,3,12.337991,1,-2.510900,51.396555,9.491888,54.273655,13.398203,0
2015-02-25,sh.603698,29.1000,29.1200,28.1000,28.3600,29.1200,7168963,204010641.0000,3,8.710769,1,-2.609900,50.055161,9.244161,52.857172,13.048524,0
2015-02-26,sh.603698,28.2500,28.7800,28.2000,28.5900,28.3600,5381375,153389363.0000,3,6.538730,1,0.811000,50.461109,9.319131,53.285845,13.154348,0
2015-02-27,sh.603698,28.7100,30.7500,28.7100,29.6700,28.5900,15367931,459603008.0000,3,18.673063,1,3.777500,52.367300,9.671165,55.298741,13.651259,0
2015-03-02,sh.603698,29.9000,32.6400,29.7000,32.6400,29.6700,28184489,897697552.0000,3,34.246038,1,10.010100,57.609325,10.639260,60.834207,15.017766,0
2015-03-03,sh.603698,34.0000,35.9000,33.5700,35.9000,32.6400,19679794,685612832.0000,3,23.912265,1,9.987800,63.363197,11.701882,66.910172,16.517702,0
2015-03-04,sh.603698,37.0000,38.8700,35.2300,35.5900,35.9000,34132052,1263154048.0000,3,41.472724,1,-0.863500,62.816050,11.600835,66.332397,16.375070,0
2015-03-05,sh.603698,34.8000,35.6800,33.8900,34.6400,35.5900,19262580,668704480.0000,3,23.405322,1,-2.669300,61.139308,11.291175,64.561793,15.937972,0
2015-03-06,sh.603698,34.3300,34.7000,32.6600,32.8800,34.6400,13949196,466517296.0000,3,16.949205,1,-5.080800,58.032923,10.717489,61.281517,15.128190,0
2015-03-09,sh.603698,32.5500,33.9700,32.4000,33.4900,32.8800,8860825,295467248.0000,3,10.766495,1,1.855200,59.109568,10.916324,62.418431,15.408853,0
2015-03-10,sh.603698,33.4000,33.4000,32.6000,32.8800,33.4900,7393728,243665430.0000,3,8.983874,1,-1.821400,58.032923,10.717489,61.281517,15.128190,0
2015-03-11,sh.603698,32.9600,33.8700,32.7000,32.8100,32.8800,7815649,259243116.0000,3,9.496536,1,-0.212900,57.909373,10.694672,61.151052,15.095983,0
2015-03-12,sh.603698,32.2500,32.5700,30.8800,31.5100,32.8100,10687235,339029056.0000,3,12.985705,1,-3.962200,55.614884,10.270927,58.728121,14.497849,0
2015-03-13,sh.603698,31.8000,32.4000,31.4000,32.3300,31.5100,6183956,198009019.0000,3,7.513920,1,2.602400,57.062177,10.538213,60.256431,14.875134,0
2015-03-16,sh.603698,32.6900,33.4300,32.5000,33.2900,32.3300,9260551,305609968.0000,3,11.252188,1,2.969400,58.756569,10.851132,62.045672,15.316833,0
2015-03-17,sh.603698,33.2500,34.8300,32.8600,34.1600,33.2900,14029257,475832320.0000,3,17.046485,1,2.613400,60.292112,11.134715,63.667172,15.717122,0
2015-03-18,sh.603698,33.9800,34.2600,33.3600,34.0800,34.1600,10468060,353222624.0000,3,12.719392,1,-0.234200,60.150913,11.108639,63.518069,15.680314,0
2015-03-19,sh.603698,34.1300,34.7900,33.5100,33.9200,34.0800,8970068,305854512.0000,3,10.899232,1,-0.469500,59.868514,11.056485,63.219862,15.606698,0
2015-03-20,sh.603698,33.8800,34.2000,33.5200,33.9900,33.9200,8085081,273410192.0000,3,9.823914,1,0.206400,59.992063,11.079302,63.350328,15.638905,0
2015-03-23,sh.603698,34.1800,34.8800,33.8800,34.4500,33.9900,11199269,384931824.0000,3,13.607860,1,1.353300,60.803960,11.229243,64.207672,15.850552,0
2015-03-24,sh.603698,34.4400,35.1500,33.0100,34.0600,34.4500,12223577,418848608.0000,3,14.852463,1,-1.132100,60.115613,11.102120,63.480793,15.671112,0
2015-03-25,sh.603698,33.8200,34.2000,33.3000,33.9000,34.0600,9480197,319592240.0000,3,11.519073,1,-0.469800,59.833214,11.049966,63.182586,15.597496,0
2015-03-26,sh.603698,34.0100,37.2900,34.0100,37.2900,33.9000,22569717,825337696.0000,3,27.423714,1,10.000000,65.816536,12.154963,69.500845,17.157245,0
2015-03-27,sh.603698,38.0000,38.1000,35.1000,35.5500,37.2900,16888275,609056064.0000,3,20.520383,1,-4.666100,62.745450,11.587796,66.257845,16.356666,0
