date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2019-07-22,sh.688066,43.0000,68.5000,30.6000,47.6000,17.2500,28812199,1201782478.0000,3,76.532180,1,175.942000,91.401444,15.389281,1950.642802,17.578500,0
2019-07-23,sh.688066,40.8000,46.5900,38.6100,43.5200,47.6000,13971244,598684809.0000,3,37.111008,1,-8.571424,83.567034,14.070200,1783.444847,16.071771,0
2019-07-24,sh.688066,44.4400,49.9000,43.5200,49.4000,43.5200,17045933,806849490.0000,3,45.278127,1,13.511030,94.857801,15.971229,2024.406605,18.243233,0
2019-07-25,sh.688066,50.0000,54.2200,48.0000,51.4000,49.4000,18048560,925660429.0000,3,47.941347,1,4.048583,98.698198,16.617837,2106.366387,18.981825,0
2019-07-26,sh.688066,49.8000,53.8000,47.5000,53.5900,51.4000,16368339,841928958.0000,3,43.478300,1,4.260700,102.903432,17.325873,2196.112347,19.790584,0
2019-07-29,sh.688066,58.0000,63.8900,54.7000,60.8800,53.5900,19304626,1134171313.0000,3,51.277763,1,13.603290,116.901679,19.682761,2494.855751,22.482753,0
2019-07-30,sh.688066,58.2100,65.6600,57.3100,65.0100,60.8800,18794993,1134672200.0000,3,49.924100,1,6.783800,124.832098,21.018008,2664.102700,24.007947,0
2019-07-31,sh.688066,63.0000,65.6800,60.6500,65.2100,65.0100,16230393,1038925080.0000,3,43.111900,1,0.307600,125.216138,21.082668,2672.298678,24.081806,0
2019-08-01,sh.688066,64.2000,68.6000,63.6100,67.1400,65.2100,16569280,1098456871.0000,3,44.012000,1,2.959700,128.922120,21.706646,2751.389868,24.794548,0
2019-08-02,sh.688066,65.0800,75.8000,65.0200,69.4000,67.1400,21200749,1469288373.0000,3,56.314300,1,3.366100,133.261769,22.437313,2844.004421,25.629157,0
2019-08-05,sh.688066,69.3900,75.6900,66.5000,75.1000,69.4000,16872844,1211870399.0000,3,44.818400,1,8.213300,144.206900,24.280147,3077.589798,27.734145,0
2019-08-06,sh.688066,73.4900,77.8900,61.2000,63.8900,75.1000,18897392,1379394786.0000,3,50.196100,1,-14.926800,122.681476,20.655907,2618.205223,23.594335,0
2019-08-07,sh.688066,65.9900,66.7200,60.6000,64.2000,63.8900,11846307,754533594.0000,3,31.466700,1,0.485200,123.276737,20.756131,2630.908989,23.708817,0
2019-08-08,sh.688066,63.0000,65.8000,58.0000,58.0000,64.2000,11131808,679798202.0000,3,29.568800,1,-9.657300,111.371507,18.751645,2376.833666,21.419180,0
2019-08-09,sh.688066,58.3000,61.8900,55.6500,60.9300,58.0000,13201024,779681961.0000,3,35.065100,1,5.051700,116.997688,19.698926,2496.904746,22.501218,0
2019-08-12,sh.688066,60.4900,61.3600,57.0100,59.9900,60.9300,8501474,504830224.0000,3,22.582000,1,-1.542800,115.192702,19.395020,2458.383649,22.154080,0
2019-08-13,sh.688066,60.0100,61.9000,58.0000,61.9000,59.9900,11316036,683668108.0000,3,30.058100,1,3.183900,118.860281,20.012531,2536.655240,22.859435,0
2019-08-14,sh.688066,63.0000,63.8000,61.1900,63.3300,61.9000,10745345,673478837.0000,3,28.542200,1,2.310200,121.606165,20.474857,2595.256484,23.387529,0
2019-08-15,sh.688066,61.0000,67.8800,60.6000,66.9000,63.3300,13965524,907295109.0000,3,37.095800,1,5.637100,128.461273,21.629053,2741.554694,24.705916,0
2019-08-16,sh.688066,66.9500,67.4400,64.6100,64.8000,66.9000,10121796,666186248.0000,3,26.885900,1,-3.139000,124.428856,20.950114,2655.496923,23.930394,0
2019-08-19,sh.688066,63.9000,64.8800,61.8000,63.1800,64.8000,8011032,505691231.0000,3,21.279200,1,-2.500000,121.318135,20.426361,2589.109500,23.332135,0
2019-08-20,sh.688066,63.2200,66.0300,62.9300,64.5000,63.1800,9976807,644287404.0000,3,26.500800,1,2.089300,123.852797,20.853122,2643.202956,23.819606,0
2019-08-21,sh.688066,64.7300,64.7300,56.8100,57.8300,64.5000,11698746,702591783.0000,3,31.074700,1,-10.341100,111.045073,18.696683,2369.867084,21.356400,0
2019-08-22,sh.688066,57.5600,58.8300,55.4200,55.5400,57.8300,6532441,371190232.0000,3,17.351700,1,-3.959900,106.647819,17.956317,2276.023134,20.510711,0
2019-08-23,sh.688066,56.1800,58.4000,51.1500,53.2000,55.5400,9326819,514695698.0000,3,24.774300,1,-4.213200,102.154555,17.199785,2180.130190,19.646558,0
2019-08-26,sh.688066,54.0000,55.2000,53.0500,54.9400,53.2000,6685705,363126696.0000,3,17.758900,1,3.270700,105.495700,17.762334,2251.435200,20.289134,0
2019-08-27,sh.688066,55.0500,58.7900,52.8800,57.4000,54.9400,10405113,582177620.0000,3,27.638500,1,4.477600,110.219388,18.557662,2352.245731,21.197602,0
2019-08-28,sh.688066,56.1500,59.7500,55.9600,57.0300,57.4000,9165562,530913079.0000,3,24.346000,1,-0.644600,109.508915,18.438040,2337.083172,21.060963,0
2019-08-29,sh.688066,56.0000,59.4200,55.1500,57.9000,57.0300,9018809,522156783.0000,3,23.956100,1,1.525500,111.179487,18.719315,2372.735677,21.382251,0
2019-08-30,sh.688066,57.4000,61.0000,57.4000,59.9400,57.9000,10906412,647733355.0000,3,28.970100,1,3.523300,115.096692,19.378855,2456.334654,22.135615,0
2019-09-02,sh.688066,62.0000,63.4400,59.5700,59.9500,59.9400,10502835,642777115.0000,3,27.898100,1,0.016700,115.115894,19.382088,2456.744453,22.139308,0
2019-09-03,sh.688066,58.8000,64.7300,58.0000,63.2800,59.9500,13465936,832659916.0000,3,35.768800,1,5.554600,121.510155,20.458691,2593.207489,23.369064,0
