date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2022-03-16,sh.688102,17.0000,21.2000,17.0000,19.9200,10.4800,24672818,442655344.0000,3,75.122300,1,90.076300,127.606871,8.234671,-327.128022,13.599195,0
2022-03-17,sh.688102,17.6900,17.6900,16.6100,16.6200,19.9200,18719553,319742480.0000,3,56.996100,1,-16.566300,106.467179,6.870493,-272.935126,11.346316,0
2022-03-18,sh.688102,15.5000,15.9000,15.0000,15.0400,16.6200,11994188,183172736.9500,3,36.519200,1,-9.506600,96.345750,6.217342,-246.988225,10.267665,0
2022-03-21,sh.688102,15.1500,16.0800,14.9000,15.3400,15.0400,10144710,156742596.6600,3,30.888000,1,1.994700,98.267541,6.341358,-251.914852,10.472472,0
2022-03-22,sh.688102,15.5300,15.5300,14.5900,14.7500,15.3400,7201220,107185584.4000,3,21.925800,1,-3.846200,94.488020,6.097460,-242.225819,10.069685,0
2022-03-23,sh.688102,14.7300,15.0100,14.4400,14.6200,14.7500,4863089,71598335.8700,3,14.806800,1,-0.881400,93.655244,6.043719,-240.090948,9.980935,0
2022-03-24,sh.688102,14.5100,14.6000,13.9800,14.0300,14.6200,4814756,68311478.0400,3,14.659700,1,-4.035600,89.875723,5.799821,-230.401915,9.578148,0
2022-03-25,sh.688102,14.0600,14.1500,13.5500,13.5600,14.0300,3929767,54335443.7500,3,11.965100,1,-3.350000,86.864918,5.605529,-222.683533,9.257283,0
2022-03-28,sh.688102,13.4600,13.5000,13.2300,13.4000,13.5600,2693324,36007498.8300,3,8.200500,1,-1.179900,85.839964,5.539387,-220.055998,9.148053,0
2022-03-29,sh.688102,13.3000,13.5400,13.1500,13.2200,13.4000,2246169,29896631.7900,3,6.839000,1,-1.343300,84.686890,5.464977,-217.100022,9.025168,0
2022-03-30,sh.688102,13.3300,13.5400,13.2300,13.4000,13.2200,2764688,36929321.6700,3,8.417700,1,1.361600,85.839964,5.539387,-220.055998,9.148053,0
2022-03-31,sh.688102,13.4700,13.9000,13.3600,13.4500,13.4000,3718800,50420888.4300,3,11.322800,1,0.373100,86.160262,5.560056,-220.877103,9.182187,0
2022-04-01,sh.688102,13.5700,13.5700,13.2200,13.2600,13.4500,2039555,27119322.1900,3,6.209900,1,-1.412600,84.943128,5.481513,-217.756906,9.052476,0
2022-04-06,sh.688102,13.3200,13.3900,13.1400,13.2900,13.2600,1940854,25759443.1900,3,5.909400,1,0.226200,85.135307,5.493914,-218.249569,9.072957,0
2022-04-07,sh.688102,13.2800,13.2800,12.7200,12.7900,13.2900,2985914,38693722.8700,3,9.091300,1,-3.762200,81.932324,5.287221,-210.038524,8.731611,0
2022-04-08,sh.688102,12.8900,12.8900,12.3000,12.3100,12.7900,2451903,30542443.3900,3,7.465400,1,-3.752900,78.857459,5.088795,-202.155921,8.403920,0
2022-04-11,sh.688102,12.4900,12.6300,12.1700,12.2100,12.3100,2056931,25488571.5400,3,6.262800,1,-0.812300,78.216862,5.047456,-200.513712,8.335651,0
