date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2021-06-24,sz.001208,4.4000,5.2800,4.4000,5.2800,3.6700,609301,3209881.4800,3,0.456000,1,43.869200,24.641539,1.581980,99.763023,3.127168,0
2021-06-25,sz.001208,5.8100,5.8100,5.8100,5.8100,5.2800,142764,829458.8400,3,0.106900,1,10.037900,27.115026,1.740777,109.777114,3.441069,0
2021-06-28,sz.001208,6.3900,6.3900,6.3900,6.3900,5.8100,238438,1523618.8200,3,0.178500,1,9.982800,29.821862,1.914555,120.735931,3.784584,0
2021-06-29,sz.001208,7.0300,7.0300,7.0300,7.0300,6.3900,297028,2088106.8400,3,0.222300,1,10.015600,32.808715,2.106310,132.828418,4.163635,0
2021-06-30,sz.001208,7.7300,7.7300,7.7300,7.7300,7.0300,538670,4163919.1000,3,0.403200,1,9.957300,36.075586,2.316042,146.054577,4.578221,0
2021-07-01,sz.001208,8.5000,8.5000,8.5000,8.5000,7.7300,440350,3742975.0000,3,0.329600,1,9.961200,39.669144,2.546747,160.603351,5.034267,0
2021-07-02,sz.001208,9.3500,9.3500,9.3500,9.3500,8.5000,625192,5845545.2000,3,0.467900,1,10.000000,43.636058,2.801422,176.663686,5.537693,0
2021-07-05,sz.001208,10.2900,10.2900,10.2900,10.2900,9.3500,2734061,28133487.6900,3,2.046400,1,10.053500,48.022999,3.083062,194.424527,6.094424,0
2021-07-06,sz.001208,11.3200,11.3200,11.3200,11.3200,10.2900,3312867,37501654.4400,3,2.479600,1,10.009700,52.829965,3.391668,213.885874,6.704459,0
2021-07-07,sz.001208,12.4500,12.4500,12.4500,12.4500,11.3200,24372050,303432022.5000,3,18.241700,1,9.982300,58.103628,3.730236,235.236673,7.373720,0
2021-07-08,sz.001208,12.7600,13.7000,11.9300,13.7000,12.4500,95593402,1238486612.6500,3,71.548700,1,10.040200,63.937326,4.104758,258.854812,8.114053,0
2021-07-09,sz.001208,12.5300,13.3100,12.3300,12.3300,13.7000,66708783,845355908.9900,3,49.929500,1,-10.000000,57.543593,3.694282,232.969331,7.302648,0
2021-07-12,sz.001208,11.5900,12.5900,11.4100,12.5800,12.3300,58650932,694889734.7700,3,43.898400,1,2.027600,58.710333,3.769186,237.692959,7.450715,0
2021-07-13,sz.001208,12.4300,12.7500,12.2100,12.2500,12.5800,44612722,554105398.6900,3,33.391300,1,-2.623200,57.170236,3.670312,231.457770,7.255267,0
2021-07-14,sz.001208,11.9100,12.2900,11.7100,12.1500,12.2500,32856684,392892660.7700,3,24.592200,1,-0.816300,56.703541,3.640351,229.568319,7.196040,0
2021-07-15,sz.001208,11.9600,13.1000,11.9000,12.5300,12.1500,54157944,684567867.7200,3,40.535600,1,3.127600,58.476985,3.754205,236.748234,7.421101,0
2021-07-16,sz.001208,12.1400,12.4500,11.2800,11.8600,12.5300,41800550,497240865.6500,3,31.286400,1,-5.347200,55.350123,3.553462,224.088911,7.024283,0
2021-07-19,sz.001208,11.7400,11.9800,11.3300,11.4300,11.8600,29782317,345465251.5500,3,22.291200,1,-3.625600,53.343331,3.424626,215.964270,6.769608,0
2021-07-20,sz.001208,11.1000,11.1200,10.5800,10.8600,11.4300,31161600,336457772.9700,3,23.323500,1,-4.986900,50.683165,3.253844,205.194399,6.432016,0
2021-07-21,sz.001208,10.8600,10.9600,10.7100,10.8100,10.8600,20090321,218294058.1200,3,15.037000,1,-0.460400,50.449817,3.238863,204.249673,6.402403,0
2021-07-22,sz.001208,10.7400,11.5600,10.5000,10.9700,10.8100,32317962,355379777.2800,3,24.189000,1,1.480100,51.196530,3.286802,207.272795,6.497165,0
2021-07-23,sz.001208,10.7900,11.5900,10.7900,11.2400,10.9700,31226425,351317993.0600,3,23.372000,1,2.461300,52.456609,3.367699,212.374313,6.657077,0
2021-07-26,sz.001208,11.1000,11.1900,10.2600,10.8600,11.2400,28909902,309482482.2100,3,21.638200,1,-3.380800,50.683165,3.253844,205.194399,6.432016,0
2021-07-27,sz.001208,10.6300,11.0900,10.3600,10.3800,10.8600,22100337,237715178.7000,3,16.541400,1,-4.419900,48.443025,3.110028,196.125033,6.147728,0
2021-07-28,sz.001208,10.0300,10.1200,9.3400,9.3400,10.3800,24733346,237168272.7300,3,18.512200,1,-10.019300,43.589388,2.798426,176.474741,5.531771,0
2021-07-29,sz.001208,9.2500,9.4800,9.2500,9.3300,9.3400,16918961,158700147.3500,3,12.663300,1,-0.107100,43.542719,2.795430,176.285796,5.525848,0
2021-07-30,sz.001208,9.1900,10.0200,9.1400,9.7000,9.3300,25350356,246495242.5900,3,18.974000,1,3.965700,45.269493,2.906288,183.276765,5.744987,0
2021-08-02,sz.001208,9.6100,9.8900,9.5900,9.7600,9.7000,13415439,130518376.7400,3,10.041000,1,0.618600,45.549511,2.924265,184.410436,5.780523,0
2021-08-03,sz.001208,9.7200,9.8000,9.4100,9.4900,9.7600,14161884,135843256.2900,3,10.599700,1,-2.766400,44.289432,2.843369,179.308917,5.620611,0
2021-08-04,sz.001208,9.3700,9.6300,9.3400,9.5100,9.4900,11465688,108789712.4300,3,8.581700,1,0.210700,44.382771,2.849361,179.686808,5.632456,0
2021-08-05,sz.001208,9.4200,10.4600,9.2700,10.4600,9.5100,29171335,290511893.3800,3,21.833900,1,9.989500,48.816381,3.133997,197.636594,6.195109,0
2021-08-06,sz.001208,10.7200,11.5100,10.7000,11.5100,10.4600,45808485,507592347.8300,3,34.286200,1,10.038200,53.716687,3.448596,217.475831,6.816989,0
2021-08-09,sz.001208,12.1700,12.6600,12.0000,12.6600,11.5100,43451172,540340374.2200,3,32.521900,1,9.991300,59.083689,3.793156,239.204520,7.498096,0
2021-08-10,sz.001208,12.9800,13.9300,12.9800,13.9300,12.6600,39359684,531749066.9500,3,29.459500,1,10.031600,65.010726,4.173670,263.200550,8.250275,0
2021-08-11,sz.001208,15.3200,15.3200,14.6800,15.3200,13.9300,20752686,316511341.8000,3,15.532800,1,9.978500,71.497798,4.590138,289.463922,9.073525,0
2021-08-12,sz.001208,16.8400,16.8500,15.0100,16.8500,15.3200,73271025,1209150341.9300,3,54.841100,1,9.986900,78.638244,5.048552,318.372525,9.979693,0
2021-08-13,sz.001208,18.2000,18.5400,18.0200,18.5400,16.8500,32497956,599955766.7700,3,24.323700,1,10.029700,86.525403,5.554906,350.304250,10.980624,0
2021-08-16,sz.001208,20.3900,20.3900,19.7000,20.3900,18.5400,24748806,503218765.8800,3,18.523700,1,9.978400,95.159275,6.109198,385.259097,12.076317,0
2021-08-17,sz.001208,21.5500,22.4300,20.8000,21.7900,20.3900,61274156,1346917988.1900,3,45.861800,1,6.866100,101.693016,6.528662,411.711413,12.905491,0
2021-08-18,sz.001208,22.5500,23.9700,20.5100,23.9700,21.7900,83464324,1847745808.8100,3,62.470500,1,10.004600,111.866985,7.181828,452.901449,14.196632,0
2021-08-19,sz.001208,21.5700,22.3000,21.5700,21.5700,23.9700,15008500,324307409.3200,3,11.233400,1,-10.012500,100.666286,6.462746,407.554621,12.775192,0
2021-08-20,sz.001208,19.6300,20.8800,19.4100,19.4100,21.5700,81372655,1602953399.0700,3,60.904900,1,-10.013900,74.357660,5.207507,20.517473,7.567004,0
2021-08-23,sz.001208,19.4200,19.8900,18.8300,19.2500,19.4100,62726976,1214550053.7000,3,46.949200,1,-0.824300,73.744717,5.164580,20.348344,7.504628,0
2021-08-24,sz.001208,18.8800,20.5800,18.8800,19.2300,19.2500,68947867,1347592731.2300,3,51.605400,1,-0.103900,73.668099,5.159215,20.327203,7.496831,0
2021-08-25,sz.001208,18.1700,19.7700,18.1700,19.5300,19.2300,59460255,1124935786.7000,3,44.504200,1,1.560100,74.817368,5.239701,20.644320,7.613786,0
2021-08-26,sz.001208,19.1400,20.6700,18.5300,18.9000,19.5300,60596366,1184672194.9700,3,45.354500,1,-3.225800,72.403904,5.070679,19.978374,7.368180,0
2021-08-27,sz.001208,19.1600,20.2900,18.7700,19.7200,18.9000,61724010,1203913048.2300,3,46.198500,1,4.338600,75.545238,5.290677,20.845161,7.687858,0
2021-08-30,sz.001208,19.2400,19.8800,18.5000,18.7000,19.7200,49764770,952634322.0400,3,37.247400,1,-5.172400,71.637725,5.017021,19.766963,7.290210,0
2021-08-31,sz.001208,18.7100,19.8200,18.7100,19.1400,18.7000,50644619,979010259.3400,3,37.905900,1,2.352900,73.323319,5.135068,20.232068,7.461745,0
2021-09-01,sz.001208,18.5000,18.8000,17.2300,17.2400,19.1400,51923990,922844406.5800,3,38.863500,1,-9.926900,66.044620,4.625318,18.223660,6.721028,0
2021-09-02,sz.001208,17.5000,18.9600,16.8700,18.9600,17.2400,48278337,857082670.8600,3,36.134900,1,9.976800,72.633758,5.086776,20.041798,7.391571,0
2021-09-03,sz.001208,19.8000,20.8600,19.5500,20.8600,18.9600,84301589,1739927790.7900,3,63.097200,1,10.021100,79.912457,5.596527,22.050205,8.132288,0
2021-09-06,sz.001208,18.7700,18.7700,18.7700,18.7700,20.8600,11429300,214527961.0000,3,8.554500,1,-10.019200,71.905888,5.035801,19.840957,7.317500,0
2021-09-07,sz.001208,16.8900,19.9100,16.8900,18.9600,18.7700,71196197,1271178883.8500,3,53.288200,1,1.012300,72.633758,5.086776,20.041798,7.391571,0
2021-09-08,sz.001208,17.7000,18.4900,17.5400,17.5900,18.9600,53482263,954371712.6000,3,40.029800,1,-7.225700,67.385433,4.719219,18.593630,6.857476,0
2021-09-09,sz.001208,17.2200,17.8700,16.8100,17.1800,17.5900,36017098,619638580.4000,3,26.957700,1,-2.330900,65.814766,4.609220,18.160236,6.697637,0
2021-09-10,sz.001208,16.9900,17.8300,16.8000,17.3000,17.1800,34584470,602562380.1600,3,25.885400,1,0.698500,66.274473,4.641415,18.287083,6.744419,0
2021-09-13,sz.001208,16.9900,17.2200,16.3500,16.5000,17.3000,28775876,476735802.1000,3,21.537900,1,-4.624300,63.209758,4.426783,17.441438,6.432538,0
2021-09-14,sz.001208,16.5000,17.4700,16.0300,16.9900,16.5000,34879611,581048810.7600,3,26.106300,1,2.969700,65.086896,4.558245,17.959396,6.623565,0
2021-09-15,sz.001208,16.7100,16.8300,16.2700,16.4800,16.9900,22001138,363166317.3400,3,16.467200,1,-3.001800,63.133140,4.421417,17.420297,6.424741,0
2021-09-16,sz.001208,16.4000,16.7200,16.0500,16.1600,16.4800,21160999,346392517.3900,3,15.838400,1,-1.941700,61.907254,4.335565,17.082038,6.299989,0
2021-09-17,sz.001208,16.0300,16.2500,15.1700,15.4000,16.1600,20626127,322184534.6000,3,15.438000,1,-4.703000,58.995774,4.131664,16.278675,6.003703,0
2021-09-22,sz.001208,15.2300,16.7900,15.0500,16.1000,15.4000,26929744,430931957.8500,3,20.156100,1,4.545500,61.677400,4.319467,17.018615,6.276598,0
2021-09-23,sz.001208,15.9000,16.6800,15.7600,16.2000,16.1000,26015502,425357879.7800,3,19.471800,1,0.621100,62.060489,4.346296,17.124321,6.315583,0
2021-09-24,sz.001208,16.2100,17.4700,16.2100,16.6900,16.2000,29871930,502803758.1500,3,22.358200,1,3.024700,63.937628,4.477758,17.642279,6.506610,0
2021-09-27,sz.001208,16.7100,16.7900,15.0200,15.3600,16.6900,23679316,368944863.0300,3,17.723200,1,-7.968800,58.842538,4.120933,16.236393,5.988108,0
2021-09-28,sz.001208,15.3600,16.5000,15.2000,15.7800,15.3600,16884694,268400867.2900,3,12.637700,1,2.734400,60.451514,4.233614,16.680357,6.151846,0
2021-09-29,sz.001208,15.2600,15.5800,14.2100,14.3000,15.7800,22044436,325381808.4500,3,16.499600,1,-9.379000,54.781790,3.836545,15.115913,5.574867,0
2021-09-30,sz.001208,14.3300,15.7300,14.3300,15.7300,14.3000,22815405,345548570.3700,3,17.076600,1,10.000000,60.259969,4.220200,16.627504,6.132353,0
2021-10-08,sz.001208,16.3900,16.6600,14.9100,15.0400,15.7300,24420712,379426066.3700,3,18.278200,1,-4.386500,57.616652,4.035080,15.898135,5.863356,0
2021-10-11,sz.001208,15.0500,16.5400,14.4700,16.5400,15.0400,29345232,463347681.3000,3,21.964000,1,9.973400,63.362994,4.437515,17.483720,6.448132,0
2021-10-12,sz.001208,16.6600,18.1500,16.2200,17.4000,16.5400,59010319,1027516973.0200,3,44.167400,1,5.199500,66.657563,4.668244,18.392789,6.783404,0
