date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
1999-12-23,sh.600219,11.5000,12.5000,11.3100,11.3500,9.4000,21896234,258713322.0000,3,32.438865,1,20.744690,31.671860,4.356142,325.758960,7.602957,0
1999-12-24,sh.600219,11.2800,11.5900,11.1900,11.3900,11.3500,4159600,47525031.0000,3,6.162370,1,0.352423,31.783479,4.371494,326.907009,7.629751,0
1999-12-27,sh.600219,11.5000,11.8500,11.4000,11.5900,11.3900,3116157,36340050.0000,3,4.616529,1,1.755924,32.341573,4.448255,332.647255,7.763724,0
1999-12-28,sh.600219,11.6100,11.8400,11.3000,11.3400,11.5900,2063510,23760183.0000,3,3.057052,1,-2.157032,31.643955,4.352304,325.471948,7.596258,0
1999-12-29,sh.600219,11.3500,11.4800,11.2800,11.3700,11.3400,1179796,13406616.0000,3,1.747846,1,0.264548,31.727669,4.363818,326.332985,7.616354,0
1999-12-30,sh.600219,11.4000,11.5600,11.2700,11.3800,11.3700,1080180,12370146.0000,3,1.600267,1,0.087953,31.755574,4.367656,326.619997,7.623053,0
2000-01-04,sh.600219,11.4500,12.1000,11.3600,11.8700,11.3800,3086335,36362972.0000,3,4.572348,1,4.305798,33.122906,4.555719,340.683600,7.951286,0
2000-01-05,sh.600219,11.8600,11.9400,11.6000,11.6400,11.8700,2823676,33309177.0000,3,4.183224,1,-1.937654,32.481097,4.467445,334.082317,7.797217,0
2000-01-06,sh.600219,11.6000,12.2200,11.5300,12.0800,11.6400,3944700,47197740.0000,3,5.844000,1,3.780065,33.708905,4.636317,346.710858,8.091957,0
2000-01-07,sh.600219,12.2000,13.2600,12.2000,13.2500,12.0800,9516177,120650096.0000,3,14.098040,1,9.685431,36.973757,5.085364,380.291297,8.875698,0
2000-01-10,sh.600219,13.5000,13.6800,12.9900,13.4500,13.2500,8579912,114470425.0000,3,12.710981,1,1.509433,37.531852,5.162125,386.031543,9.009671,0
2000-01-11,sh.600219,13.4000,13.4000,12.6000,12.7000,13.4500,4571916,59033178.0000,3,6.773209,1,-5.576208,35.438998,4.874274,364.505620,8.507273,0
2000-01-12,sh.600219,12.6300,12.8500,12.2000,12.2200,12.7000,3464802,43050031.0000,3,5.133040,1,-3.779524,34.099571,4.690049,350.729030,8.185738,0
2000-01-13,sh.600219,12.2000,12.4800,12.1200,12.2800,12.2200,1656209,20365784.0000,3,2.453643,1,0.490994,34.266999,4.713077,352.451104,8.225930,0
2000-01-14,sh.600219,12.3000,12.4300,11.8100,11.8900,12.2800,1414300,17070732.0000,3,2.095259,1,-3.175891,33.178715,4.563395,341.257624,7.964683,0
2000-01-17,sh.600219,11.8000,12.7000,11.8000,12.5700,11.8900,1971235,24473959.0000,3,2.920348,1,5.719086,35.076236,4.824380,360.774461,8.420191,0
2000-01-18,sh.600219,12.6000,12.6100,12.2000,12.2800,12.5700,954486,11799899.0000,3,1.414053,1,-2.307080,34.266999,4.713077,352.451104,8.225930,0
2000-01-19,sh.600219,12.2800,12.4300,12.0000,12.3700,12.2800,1185650,14458326.0000,3,1.756519,1,0.732900,34.518142,4.747620,355.034215,8.286218,0
