date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2004-04-20,sh.600497,13.8800,15.0200,13.6000,15.0000,5.7200,46995117,677228516.0000,3,67.135881,1,162.237800,65.643524,3.782347,116.261611,13.009649,0
2004-04-21,sh.600497,14.8000,15.0500,14.3900,14.8100,15.0000,10758871,158831516.0000,3,15.369816,1,-1.270000,64.812040,3.734437,114.788964,12.844860,0
2004-04-22,sh.600497,14.6800,14.8500,13.8800,14.0000,14.8100,8790643,125456056.0000,3,12.558061,1,-5.470000,61.267289,3.530191,108.510837,12.142339,0
2004-04-23,sh.600497,13.9900,14.3500,13.6200,14.1500,14.0000,4445186,62311596.0000,3,6.350266,1,1.070000,61.923724,3.568014,109.673453,12.272435,0
2004-04-26,sh.600497,14.3000,14.5800,13.7800,14.2300,14.1500,3375120,48020637.0000,3,4.821600,1,0.570000,62.273823,3.588187,110.293515,12.341820,0
2004-04-27,sh.600497,14.1800,14.1800,13.4300,13.6000,14.2300,4689575,64032113.0000,3,6.699393,1,-4.430000,59.516795,3.429328,105.410527,11.795415,0
2004-04-28,sh.600497,14.1800,14.6000,13.9000,13.9500,13.6000,7181292,102383775.0000,3,10.258989,1,2.570000,46.120609,3.570510,108.123298,12.572769,0
2004-04-29,sh.600497,13.9800,14.0600,13.2000,13.3100,13.9500,4602580,62953460.0000,3,6.575114,1,-4.590000,44.004682,3.406702,103.162803,11.995954,0
2004-04-30,sh.600497,13.3400,14.3000,13.3400,13.9500,13.3100,5015913,69790333.0000,3,7.165590,1,4.810000,46.120609,3.570510,108.123298,12.572769,0
2004-05-10,sh.600497,13.9800,14.2000,13.6500,13.7300,13.9500,3130741,43637247.0000,3,4.472487,1,-1.580000,45.393259,3.514201,106.418128,12.374489,0
2004-05-11,sh.600497,13.6700,14.3800,13.6600,14.2200,13.7300,4685056,66079031.0000,3,6.692937,1,3.570000,47.013266,3.639617,110.216007,12.816113,0
2004-05-12,sh.600497,14.2200,14.6400,14.1200,14.5800,14.2200,5731533,82490806.0000,3,8.187904,1,2.530000,48.203475,3.731759,113.006286,13.140571,0
2004-05-13,sh.600497,14.4500,14.9800,14.3300,14.6400,14.5800,6543804,95851678.0000,3,9.348291,1,0.410000,48.401844,3.747116,113.471332,13.194648,0
2004-05-14,sh.600497,14.6500,14.6700,14.2000,14.3500,14.6400,3993301,57359569.0000,3,5.704716,1,-1.980000,47.443064,3.672890,111.223608,12.933278,0
2004-05-17,sh.600497,14.2500,14.6000,14.2000,14.4400,14.3500,3374400,48731257.0000,3,4.820571,1,0.630000,47.740616,3.695926,111.921177,13.014393,0
2004-05-18,sh.600497,14.4500,14.8800,14.3000,14.4800,14.4400,4169296,60602616.0000,3,5.956137,1,0.280000,47.872862,3.706164,112.231208,13.050444,0
2004-05-19,sh.600497,14.5000,14.5500,13.8100,13.8800,14.4800,4744539,67374771.0000,3,6.777913,1,-4.140000,45.889180,3.552594,107.580744,12.509680,0
2004-05-20,sh.600497,13.8500,13.9800,13.5200,13.7500,13.8800,2763328,37949301.0000,3,3.947611,1,-0.940000,45.459382,3.519320,106.573143,12.392514,0
2004-05-21,sh.600497,13.7000,13.9000,13.5800,13.8200,13.7500,1234272,16974142.0000,3,1.763246,1,0.510000,45.690811,3.537237,107.115697,12.455603,0
2004-05-24,sh.600497,13.8000,13.8600,13.5900,13.6100,13.8200,1652574,22582891.0000,3,2.360820,1,-1.520000,44.996523,3.483487,105.488035,12.266336,0
2004-05-25,sh.600497,13.6000,13.8000,13.2900,13.5000,13.6100,1211298,16385389.0000,3,1.730426,1,-0.810000,44.632848,3.455332,104.635450,12.167196,0
2004-05-26,sh.600497,13.5000,13.8000,13.4100,13.6600,13.5000,702482,9565469.0000,3,1.003546,1,1.190000,45.161830,3.496285,105.875574,12.311400,0
2004-05-27,sh.600497,13.7600,14.4000,13.5300,14.1900,13.6600,2939905,41307811.0000,3,4.199864,1,3.880000,46.914082,3.631938,109.983484,12.789075,0
2004-05-28,sh.600497,14.1800,14.2500,13.9000,13.9500,14.1900,1598139,22575917.0000,3,2.283056,1,-1.690000,46.120609,3.570510,108.123298,12.572769,0
